patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
33,-1,0.149416,0.827136,0.928922,0.725350,0.970011,0.852250,0.192912
32,6,0.150537,0.826628,0.926081,0.727176,0.969293,0.852035,0.191801
31,3,0.146336,0.830715,0.930159,0.731272,0.969831,0.856057,0.186490
30,11,0.151545,0.827730,0.929203,0.726257,0.965395,0.856470,0.186188
29,13,0.146067,0.831332,0.930487,0.732176,0.969968,0.856476,0.185571
28,18,0.146954,0.830959,0.930974,0.730944,0.967722,0.857683,0.183548
27,3,0.150655,0.829111,0.928016,0.730205,0.968746,0.855127,0.187279
26,15,0.151850,0.828658,0.923660,0.733655,0.965304,0.858001,0.182766
25,23,0.152701,0.830152,0.922966,0.737338,0.964283,0.860499,0.178653
24,2,0.162466,0.822372,0.915266,0.729478,0.960863,0.855782,0.186406
23,2,0.164997,0.820884,0.916044,0.725725,0.959986,0.854418,0.188030
22,22,0.174943,0.815234,0.909649,0.720819,0.953938,0.853204,0.188704
21,9,0.185399,0.809391,0.897047,0.721735,0.946825,0.854376,0.187240
20,1,0.191238,0.807442,0.890331,0.724552,0.944699,0.854160,0.186055
19,14,0.195266,0.803268,0.889685,0.716852,0.944163,0.850565,0.193135
18,3,0.214761,0.794863,0.867089,0.722637,0.932385,0.852632,0.187224
17,17,0.233134,0.782596,0.849209,0.715984,0.923663,0.848568,0.194166
16,0,0.261337,0.771620,0.849949,0.693291,0.903022,0.850030,0.186597
15,14,0.288958,0.757759,0.817764,0.697755,0.889229,0.849235,0.185875
14,1,0.297762,0.753000,0.822393,0.683608,0.883907,0.846309,0.188534
13,11,0.318033,0.741647,0.814951,0.668342,0.871902,0.843012,0.191870
12,9,0.357906,0.727175,0.788043,0.666306,0.846599,0.849209,0.176839
11,8,0.399928,0.710160,0.803013,0.617307,0.824182,0.839872,0.180688
10,2,0.455012,0.683774,0.734911,0.632636,0.789657,0.848269,0.165191
9,2,0.520070,0.655239,0.748098,0.562381,0.752267,0.836068,0.168656
8,7,0.590128,0.618654,0.694793,0.542516,0.713398,0.830072,0.171463
7,3,0.668274,0.584069,0.651812,0.516325,0.668648,0.828660,0.160552
6,3,0.743009,0.551209,0.656215,0.446204,0.628883,0.808806,0.168529
5,5,0.846992,0.499499,0.605050,0.393948,0.571643,0.787905,0.176365
4,3,0.946032,0.452347,0.563913,0.340781,0.515795,0.768618,0.178297
3,3,1.055768,0.401423,0.520555,0.282291,0.450318,0.752910,0.163127
2,0,1.223214,0.314000,0.370443,0.257557,0.341528,0.786604,0.102728
1,0,1.436708,0.196802,0.204493,0.189111,0.208714,0.798306,0.062512
