patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
25,-1,0.247894,0.838025,0.857061,0.818989,0.923368,0.905845,0.103488
24,23,0.254734,0.831182,0.854549,0.807814,0.917631,0.903421,0.106155
23,7,0.254568,0.831825,0.852324,0.811326,0.919213,0.902796,0.106907
22,12,0.259557,0.827891,0.809996,0.845786,0.892947,0.925044,0.077499
21,19,0.269294,0.825138,0.799727,0.850550,0.890951,0.924539,0.078211
20,13,0.276976,0.818693,0.787626,0.849760,0.882370,0.926061,0.075927
19,12,0.294115,0.809601,0.768170,0.851033,0.872733,0.925616,0.075589
18,12,0.305865,0.803581,0.752426,0.854736,0.867048,0.925445,0.075925
17,2,0.321548,0.788423,0.744216,0.832629,0.849306,0.924770,0.074633
16,7,0.341489,0.761992,0.745591,0.778393,0.818494,0.922863,0.073145
15,3,0.366659,0.746808,0.714275,0.779341,0.801344,0.923481,0.071146
14,14,0.389087,0.735824,0.687163,0.784485,0.792210,0.921309,0.073581
13,7,0.413824,0.720732,0.658116,0.783348,0.774640,0.922191,0.071086
12,10,0.448509,0.685736,0.638549,0.732924,0.736853,0.918245,0.071460
11,10,0.482475,0.665441,0.599612,0.731271,0.715209,0.917473,0.070524
10,9,0.520196,0.623283,0.587973,0.658594,0.667919,0.912860,0.069169
9,6,0.559244,0.597410,0.543320,0.651499,0.638726,0.913998,0.065577
8,2,0.598078,0.566207,0.513044,0.619370,0.606534,0.908430,0.067285
7,5,0.642854,0.537435,0.466451,0.608419,0.575623,0.906193,0.065843
6,6,0.690287,0.500216,0.420358,0.580074,0.533738,0.906626,0.061135
5,2,0.740133,0.446242,0.409009,0.483474,0.475626,0.893199,0.062598
4,3,0.801024,0.390510,0.366123,0.414897,0.413880,0.885962,0.057730
3,3,0.874169,0.345440,0.283828,0.407053,0.367679,0.875801,0.058256
2,1,0.943078,0.263676,0.253013,0.274339,0.276066,0.863260,0.046093
1,1,1.053724,0.167844,0.099610,0.236079,0.174234,0.894871,0.028133
