job_id	job_name	pair	method	seed	output_dir
4114523	fanfill_cat_face_bass_basic_seed0	cat_face_bass	basic	0	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_cat_face_bass_basic_seed0
4114524	fanfill_cat_face_bass_basic_seed1	cat_face_bass	basic	1	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_cat_face_bass_basic_seed1
4114525	fanfill_cat_face_bass_basic_seed2	cat_face_bass	basic	2	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_cat_face_bass_basic_seed2
4114526	fanfill_cat_face_bass_srd_seed0	cat_face_bass	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_cat_face_bass_srd_seed0
4114527	fanfill_cat_face_bass_srd_seed1	cat_face_bass	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_cat_face_bass_srd_seed1
4114528	fanfill_cat_face_bass_srd_seed2	cat_face_bass	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_cat_face_bass_srd_seed2
4114529	fanfill_horse_circle_basic_seed0	horse_circle	basic	0	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_horse_circle_basic_seed0
4114530	fanfill_horse_circle_basic_seed1	horse_circle	basic	1	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_horse_circle_basic_seed1
4114531	fanfill_horse_circle_basic_seed2	horse_circle	basic	2	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_horse_circle_basic_seed2
4114532	fanfill_horse_circle_srd_seed0	horse_circle	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_horse_circle_srd_seed0
4114533	fanfill_horse_circle_srd_seed1	horse_circle	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_horse_circle_srd_seed1
4114534	fanfill_horse_circle_srd_seed2	horse_circle	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_horse_circle_srd_seed2
4114535	fanfill_sun_moon_basic_seed0	sun_moon	basic	0	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_sun_moon_basic_seed0
4114536	fanfill_sun_moon_basic_seed1	sun_moon	basic	1	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_sun_moon_basic_seed1
4114537	fanfill_sun_moon_basic_seed2	sun_moon	basic	2	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_sun_moon_basic_seed2
4114538	fanfill_sun_moon_srd_seed0	sun_moon	srd	0	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_sun_moon_srd_seed0
4114539	fanfill_sun_moon_srd_seed1	sun_moon	srd	1	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_sun_moon_srd_seed1
4114540	fanfill_sun_moon_srd_seed2	sun_moon	srd	2	/oscar/home/cjmok/automated-perspective-sculptor/results/fanfill_20260720_0241/fanfill_sun_moon_srd_seed2
