job	pair	arm	config	seed	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_water_fire_hinge2_aw0p1875_seed0	water_fire	hinge2	aw0p1875	0	shed_converged	1500	0.096663	0.920576	0.924633	0.916519	0.941644	525	0.948753	0.967778	9	20	32	9	17.000	0.055112	0.946400	0.971337	0.00010818	11	1	23	9909.213
neg_water_fire_hinge2_aw0p1875_seed1	water_fire	hinge2	aw0p1875	1	shed_converged	1500	0.070092	0.941877	0.956300	0.927453	0.947832	275	0.966396	0.978711	7	20	29	7	12.902	0.034813	0.965658	0.974469	0.00040551	9	0	22	5023.079
neg_water_fire_hinge2_aw0p1875_seed2	water_fire	hinge2	aw0p1875	2	shed_converged	2150	0.110363	0.914256	0.951823	0.876688	0.953249	1375	0.957355	0.977853	7	20	35	7	23.575	0.041695	0.958230	0.951440	0.00031443	18	0	31	10307.755
neg_water_fire_hinge2_aw0p1875_seed3	water_fire	hinge2	aw0p1875	3	shed_converged	2400	0.102879	0.919482	0.946948	0.892015	0.936878	1575	0.952396	0.965324	10	20	33	10	25.608	0.049520	0.952989	0.963894	0.00019760	17	1	28	20618.968
neg_water_fire_hinge2_aw0p1875_seed4	water_fire	hinge2	aw0p1875	4	shed_converged	1500	0.105089	0.917550	0.942797	0.892303	0.939138	375	0.946859	0.961381	7	20	29	7	13.951	0.057041	0.944726	0.969338	0.00033571	10	0	23	8279.298
neg_water_fire_hinge2_aw0p1875_seed5	water_fire	hinge2	aw0p1875	5	shed_converged	1500	0.101246	0.920824	0.927234	0.914415	0.936607	375	0.958912	0.968145	9	20	30	9	16.213	0.041017	0.959538	0.958467	0.00085163	11	2	24	5856.424
neg_water_fire_hinge2_aw0p1875_seed6	water_fire	hinge2	aw0p1875	6	shed_converged	1500	0.100110	0.922889	0.906547	0.939231	0.938684	1075	0.967497	0.973681	7	20	26	7	13.656	0.030004	0.969520	0.950661	0.00104889	9	1	23	4936.195
neg_water_fire_hinge2_aw0p1875_seed7	water_fire	hinge2	aw0p1875	7	shed_converged	1500	0.103250	0.919333	0.945547	0.893118	0.941568	375	0.966743	0.969441	9	20	26	9	15.557	0.030308	0.968884	0.946999	0.00016247	13	0	24	5606.242
neg_water_fire_hinge2_aw0p1875_seed8	water_fire	hinge2	aw0p1875	8	shed_converged	1600	0.091278	0.925679	0.946429	0.904929	0.936199	625	0.957959	0.962892	7	20	29	7	16.138	0.043211	0.957434	0.965279	0.00002446	11	0	24	5476.939
neg_water_fire_hinge2_aw0p1875_seed9	water_fire	hinge2	aw0p1875	9	converged	1750	0.092305	0.924877	0.966152	0.883602	0.927241	1325	0.947511	0.949237	28	20	33	20	28.986	0.057503	0.945266	0.976552	0.00026481	25	1	18	9338.082
