step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
700,5393.121,0.248747,0.888663,0.805653,0.971672,24,0.00000068,0,0.092445,0.161458,0.023431,0.914912,0.852844,0.976980,0.965086,0.935733,0.994440,0.045056,0.010229,0.047131,0.008142,0.010000
725,5443.293,0.261381,0.885688,0.804115,0.967262,24,0.00000142,0,0.098962,0.170852,0.027072,0.909939,0.846405,0.973473,0.967473,0.941499,0.993447,0.047528,0.011883,0.047785,0.009636,0.010000
750,5757.481,0.276338,0.880814,0.799477,0.962150,24,0.00000042,0,0.103079,0.174386,0.031771,0.906173,0.843358,0.968988,0.965807,0.938895,0.992719,0.048709,0.014053,0.049303,0.011429,0.010000
775,5807.724,0.287235,0.876297,0.794641,0.957952,24,0.00000254,1,0.107233,0.180246,0.034220,0.902704,0.838796,0.966613,0.964303,0.937872,0.990733,0.050218,0.014752,0.050787,0.012472,0.010000
800,6125.292,0.278984,0.879902,0.798141,0.961662,23,0.00000074,0,0.105804,0.180897,0.030712,0.904461,0.838977,0.969946,0.966860,0.942522,0.991197,0.050486,0.013223,0.049899,0.011241,0.010000
825,6174.428,0.280036,0.879746,0.795727,0.963765,23,0.00000000,0,0.104968,0.179688,0.030249,0.904885,0.839335,0.970436,0.965813,0.938709,0.992918,0.050305,0.013507,0.050514,0.010925,0.010000
850,6486.257,0.281178,0.879605,0.795465,0.963744,23,0.00000000,0,0.107554,0.185454,0.029653,0.903320,0.835655,0.970984,0.967655,0.942987,0.992322,0.051694,0.012933,0.050661,0.010752,0.010000
875,6535.054,0.285609,0.878914,0.795218,0.962611,23,0.00000003,0,0.109197,0.186291,0.032102,0.901895,0.835090,0.968700,0.968436,0.943359,0.993513,0.052136,0.014100,0.050893,0.011192,0.010000
900,6845.456,0.280620,0.880715,0.800677,0.960753,23,0.00000014,0,0.107871,0.181920,0.033823,0.902914,0.838760,0.967068,0.969792,0.946336,0.993249,0.050649,0.014878,0.049087,0.011689,0.010000
925,6894.553,0.282014,0.880565,0.804399,0.956730,23,0.00000253,0,0.106271,0.175409,0.037133,0.903719,0.843511,0.963927,0.968877,0.945499,0.992256,0.049185,0.016380,0.048174,0.013048,0.010000
950,7196.941,0.281459,0.880739,0.807549,0.953929,23,0.00000447,0,0.105810,0.172898,0.038721,0.904014,0.845636,0.962392,0.969019,0.947173,0.990866,0.048243,0.017230,0.047059,0.014023,0.010000
975,7245.540,0.274204,0.883280,0.809963,0.956597,23,0.00000000,0,0.103833,0.170666,0.037000,0.905753,0.847465,0.964042,0.970093,0.948196,0.991991,0.047825,0.016114,0.046503,0.012929,0.010000
1000,7557.835,0.275464,0.883234,0.810285,0.956183,23,0.00000009,0,0.103998,0.170201,0.037795,0.905564,0.847817,0.963310,0.970259,0.948196,0.992322,0.047570,0.016842,0.046257,0.013358,0.010000
