job	pair	group	arm	seed	overlap_mode	overlap_repair	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	final_patches	final_overlap	best_mean_iou	best_mean_iou_step	best_loss	best_loss_step	srd_total_adds	srd_total_deletes	total_seconds	iou_0p50_steps	iou_0p50_seconds	iou_0p60_steps	iou_0p60_seconds	iou_0p70_steps	iou_0p70_seconds	iou_0p75_steps	iou_0p75_seconds	iou_0p80_steps	iou_0p80_seconds	iou_0p85_steps	iou_0p85_seconds	iou_0p90_steps	iou_0p90_seconds	rel_90pct_steps	rel_90pct_seconds	rel_95pct_steps	rel_95pct_seconds	rel_99pct_steps	rel_99pct_seconds
final_acm_scf_basic_seed0	acm_scf	basic	basic	0	planar	True	converged	1500	0.400588	0.640308	0.508809	0.771807	20	0.00000000	0.652290	1200	0.394155	1200	-	-	1475.785	175	183.216	525	528.304	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	450	453.880	725	721.996	1100	1081.699
final_cat_face_bass_basic_seed0	cat_face_bass	basic	basic	0	planar	True	converged	1625	0.101010	0.908051	0.922460	0.893642	20	0.00001708	0.910252	1325	0.099573	1325	-	-	1691.158	75	79.612	100	105.342	150	155.746	175	180.982	300	308.881	450	464.059	1125	1168.842	350	360.507	475	490.385	1150	1195.454
final_crane_crab_basic_seed0	crane_crab	basic	basic	0	planar	True	converged	2125	0.184223	0.723017	0.737310	0.708724	20	0.00019406	0.723017	2125	0.184030	1825	-	-	2177.632	75	78.641	200	204.180	850	876.556	-1	-1	-1	-1	-1	-1	-1	-1	375	380.083	675	695.042	1225	1263.350
final_dance_argument_basic_seed0	dance_argument	basic	basic	0	planar	True	converged	1525	0.179743	0.791565	0.713051	0.870079	20	0.00039336	0.802054	875	0.175918	1225	-	-	1577.669	100	104.416	125	130.410	200	208.882	350	370.325	875	921.937	-1	-1	-1	-1	275	289.313	400	423.827	775	817.982
final_dancer_guitar_basic_seed0	dancer_guitar	basic	basic	0	planar	True	converged	1700	0.139826	0.762574	0.732109	0.793039	20	0.00008824	0.763935	1650	0.134009	1125	-	-	1716.641	75	76.880	175	178.390	300	305.221	475	486.745	-1	-1	-1	-1	-1	-1	300	305.221	350	356.553	1400	1421.648
final_horse_circle_basic_seed0	horse_circle	basic	basic	0	planar	True	converged	1750	0.264679	0.869596	0.760460	0.978732	20	0.00000000	0.873746	1500	0.233023	1425	-	-	1789.566	75	77.968	100	104.407	125	130.925	175	184.644	225	238.328	1150	1195.991	-1	-1	225	238.328	275	291.671	1350	1395.608
final_robot_man_basic_seed0	robot_man	basic	basic	0	planar	True	converged	1525	0.073422	0.904861	0.910604	0.899119	20	0.00025463	0.915075	1225	0.065237	950	-	-	1568.651	75	80.085	75	80.085	100	106.802	125	133.783	200	214.402	425	445.683	825	855.968	375	394.447	550	574.765	875	907.544
final_siggraph_sigchi_basic_seed0	siggraph_sigchi	basic	basic	0	planar	True	converged	1625	0.149002	0.777228	0.811675	0.742782	20	0.00013141	0.789795	1050	0.142728	1325	-	-	1655.928	200	199.176	300	302.283	425	431.133	550	558.667	-1	-1	-1	-1	-1	-1	450	457.000	550	558.667	875	884.205
final_sun_moon_basic_seed0	sun_moon	basic	basic	0	planar	True	converged	1675	0.195994	0.809710	0.707842	0.911577	20	0.00017290	0.810914	1400	0.187737	1375	-	-	2794.552	75	125.454	100	167.179	200	332.358	275	456.970	775	1301.928	-1	-1	-1	-1	225	373.185	375	627.319	825	1386.300
final_teapot_droplets_basic_seed0	teapot_droplets	basic	basic	0	planar	True	converged	1500	0.247854	0.636907	0.719701	0.554113	20	0.00001884	0.681880	1150	0.198637	1000	-	-	1520.467	150	153.118	275	279.383	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	300	304.900	375	382.568	975	992.900
final_water_fire_basic_seed0	water_fire	basic	basic	0	planar	True	converged	1950	0.050136	0.921785	0.898444	0.945126	20	0.00001605	0.921785	1950	0.049590	1650	-	-	2079.232	50	54.626	50	54.626	75	80.230	100	106.253	125	132.152	250	264.198	1075	1143.861	175	184.645	425	448.476	1425	1516.303
