patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
29,-1,0.083396,0.935484,0.916440,0.954529,0.956713,0.976637,0.022848
28,3,0.090052,0.927571,0.906568,0.948574,0.950342,0.974603,0.024702
27,8,0.088697,0.928618,0.909282,0.947955,0.948887,0.977320,0.021973
26,17,0.090132,0.927382,0.907660,0.947104,0.948704,0.976146,0.023130
25,21,0.085009,0.931053,0.914484,0.947622,0.949653,0.979245,0.020102
24,24,0.087040,0.928372,0.910506,0.946238,0.947233,0.978832,0.020448
23,13,0.086177,0.929884,0.913181,0.946588,0.947961,0.979745,0.019588
22,4,0.089338,0.927083,0.911181,0.942985,0.946999,0.977674,0.021610
21,6,0.086472,0.929055,0.911910,0.946200,0.947794,0.978998,0.020308
20,12,0.092041,0.924106,0.912334,0.935878,0.942354,0.979395,0.019832
19,6,0.092546,0.924367,0.911638,0.937097,0.944278,0.977606,0.021648
18,16,0.099290,0.917281,0.908862,0.925700,0.936540,0.978072,0.021080
17,7,0.107548,0.912027,0.896805,0.927249,0.933253,0.975530,0.023404
16,0,0.125993,0.893739,0.857278,0.930200,0.909164,0.980707,0.017679
15,3,0.140278,0.881431,0.831411,0.931450,0.897199,0.979302,0.018565
14,13,0.158999,0.866239,0.797150,0.935328,0.881589,0.978435,0.018710
13,13,0.183125,0.844926,0.758891,0.930961,0.860379,0.976486,0.019634
12,5,0.197855,0.831329,0.756661,0.905998,0.845876,0.977139,0.018860
11,11,0.219966,0.813411,0.715879,0.910943,0.828479,0.974217,0.020416
10,10,0.240977,0.796149,0.678083,0.914215,0.809158,0.974961,0.018708
9,6,0.265601,0.775455,0.636781,0.914130,0.789080,0.971480,0.020411
8,6,0.297449,0.747052,0.598331,0.895774,0.758699,0.971617,0.018903
7,5,0.331697,0.713498,0.599374,0.827623,0.725466,0.971154,0.019287
6,6,0.374699,0.674771,0.557909,0.791632,0.686163,0.968717,0.019622
5,5,0.438562,0.608056,0.535951,0.680161,0.615820,0.975656,0.014197
4,0,0.503614,0.543236,0.451220,0.635252,0.548233,0.978495,0.010589
3,2,0.591667,0.459394,0.416888,0.501901,0.463093,0.980394,0.008714
2,2,0.686574,0.359261,0.393596,0.324926,0.359686,0.997276,0.001080
1,1,0.813670,0.244883,0.206193,0.283573,0.245051,0.996461,0.000767
