step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
700,3139.123,0.104465,0.934884,0.935468,0.934299,27,0.00055563,6,0.040080,0.046419,0.033742,0.960485,0.954727,0.966243,0.972358,0.978892,0.965824,0.011393,0.007440,0.013064,0.012211,0.000000
725,3173.755,0.105309,0.934258,0.931888,0.936628,27,0.00052017,4,0.040643,0.047219,0.034067,0.959934,0.953848,0.966021,0.972213,0.975890,0.968536,0.011526,0.007449,0.013782,0.011712,0.000000
750,3379.010,0.100499,0.937708,0.937088,0.938327,27,0.00060050,4,0.039488,0.046319,0.032657,0.961143,0.954891,0.967396,0.974731,0.980492,0.968970,0.011249,0.007188,0.012710,0.011431,0.000000
775,3413.334,0.095046,0.940424,0.942118,0.938730,27,0.00051941,4,0.037257,0.043918,0.030596,0.963299,0.957254,0.969344,0.975472,0.983493,0.967451,0.010533,0.006770,0.011576,0.011333,0.000000
800,3627.100,0.094885,0.940063,0.942402,0.937723,27,0.00044466,4,0.037604,0.042117,0.033091,0.962924,0.958879,0.966970,0.975423,0.982093,0.968753,0.009911,0.007326,0.011359,0.011547,0.000000
825,3661.526,0.097917,0.938524,0.943079,0.933969,27,0.00032634,4,0.038685,0.042217,0.035152,0.961867,0.958817,0.964916,0.974847,0.982893,0.966800,0.010106,0.007821,0.011255,0.012344,0.000000
850,3882.483,0.097524,0.937655,0.942454,0.932857,27,0.00030236,2,0.036933,0.041317,0.032549,0.963457,0.959601,0.967313,0.972306,0.981393,0.963220,0.009833,0.007157,0.011416,0.012527,0.000000
875,3917.093,0.108200,0.932478,0.940544,0.924413,27,0.00020707,4,0.042512,0.041517,0.043507,0.958093,0.959342,0.956845,0.972111,0.979592,0.964631,0.010001,0.009671,0.011912,0.014271,0.000000
900,4115.528,0.110836,0.931484,0.939461,0.923506,26,0.00026306,3,0.044499,0.039416,0.049582,0.956269,0.961201,0.951336,0.972893,0.976491,0.969296,0.009773,0.010787,0.012354,0.014250,0.000000
925,4148.238,0.112596,0.929750,0.935738,0.923762,26,0.00025223,3,0.043664,0.039916,0.047412,0.956942,0.960596,0.953287,0.970325,0.973089,0.967560,0.009780,0.010457,0.013047,0.014308,0.000000
950,4353.606,0.109944,0.931437,0.935279,0.927595,26,0.00026346,2,0.043064,0.038715,0.047412,0.957573,0.961676,0.953471,0.971531,0.971489,0.971574,0.009489,0.010396,0.013135,0.013509,0.000000
975,4386.471,0.111703,0.930383,0.933699,0.927067,26,0.00024806,2,0.042700,0.039616,0.045785,0.957847,0.960788,0.954905,0.970101,0.970688,0.969513,0.009795,0.010154,0.013530,0.013672,0.000000
1000,4596.864,0.112250,0.930052,0.933340,0.926763,26,0.00026438,2,0.042204,0.038515,0.045893,0.958288,0.961783,0.954793,0.969292,0.969288,0.969296,0.009550,0.010212,0.013694,0.013780,0.000000
1025,4629.691,0.112151,0.929671,0.933244,0.926099,26,0.00025499,2,0.043389,0.040016,0.046761,0.957193,0.960404,0.953982,0.969996,0.970588,0.969404,0.009719,0.010284,0.013538,0.013785,0.000000
1050,4840.353,0.109402,0.930729,0.934335,0.927123,26,0.00029367,2,0.041315,0.039016,0.043615,0.959115,0.961363,0.956867,0.969174,0.970788,0.967560,0.009506,0.009585,0.013268,0.013585,0.000000
1075,4872.949,0.110292,0.930429,0.933052,0.927806,26,0.00026610,3,0.042240,0.041517,0.042964,0.958258,0.959029,0.957488,0.969729,0.971789,0.967668,0.009924,0.009443,0.013493,0.013525,0.000000
1100,5082.610,0.111743,0.929851,0.931508,0.928193,26,0.00027584,3,0.043492,0.041417,0.045568,0.957103,0.959054,0.955152,0.970289,0.970088,0.970489,0.010240,0.009712,0.013959,0.013248,0.000000
