step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.369,0.883136,0.184212,0.187488,0.180936,20,0.00009523,0,0.477185,0.106808,0.847561,0.471523,0.660194,0.282853,0.270902,0.207513,0.334290,0.025029,0.049990,0.172524,0.084323,0.000100
25,25.141,0.652818,0.305707,0.270881,0.340532,20,0.00003389,2,0.240124,0.051984,0.428264,0.688743,0.845721,0.531765,0.385666,0.284963,0.486370,0.011983,0.024973,0.147048,0.052072,0.000100
50,179.907,0.545036,0.409559,0.387016,0.432102,23,0.00033081,2,0.212113,0.045459,0.378766,0.755165,0.898995,0.611336,0.500188,0.404609,0.595768,0.010598,0.021625,0.122784,0.042706,0.000100
75,207.348,0.480000,0.461142,0.479460,0.442823,23,0.00026607,4,0.198504,0.045144,0.351865,0.773584,0.917357,0.629811,0.549871,0.501105,0.598637,0.010075,0.020039,0.103838,0.041043,0.000100
100,357.016,0.413445,0.511646,0.565240,0.458052,22,0.00036476,3,0.180966,0.032306,0.329627,0.798187,0.947539,0.648835,0.596269,0.583500,0.609039,0.007500,0.018522,0.085773,0.038946,0.000100
125,383.405,0.375475,0.540111,0.605090,0.475132,22,0.00024007,2,0.158125,0.025360,0.290890,0.819516,0.960730,0.678302,0.616889,0.620436,0.613343,0.005736,0.016401,0.077324,0.036710,0.000100
150,540.954,0.334332,0.572694,0.656298,0.489090,23,0.00009036,3,0.143730,0.021677,0.265782,0.834159,0.968683,0.699635,0.644803,0.670525,0.619082,0.004758,0.014850,0.066650,0.034969,0.000100
175,569.083,0.310746,0.594126,0.706234,0.482018,23,0.00003129,2,0.153921,0.021256,0.286585,0.827656,0.971372,0.683940,0.670702,0.721246,0.620158,0.004792,0.016199,0.056837,0.036242,0.000100
200,752.967,0.299103,0.609284,0.728953,0.489615,26,0.00001226,1,0.160067,0.024939,0.295194,0.825030,0.967698,0.682362,0.690639,0.747132,0.634146,0.005674,0.016598,0.052735,0.035827,0.000100
225,785.027,0.279985,0.639170,0.763363,0.514978,26,0.00003755,1,0.172374,0.027675,0.317073,0.823683,0.965924,0.681441,0.731377,0.784489,0.678264,0.006458,0.018217,0.046184,0.034798,0.000100
250,993.987,0.281710,0.653641,0.765450,0.541832,26,0.00002114,1,0.195462,0.031885,0.359039,0.816716,0.961199,0.672233,0.763113,0.789856,0.736370,0.007289,0.020874,0.045777,0.034040,0.000100
275,1025.703,0.271046,0.679683,0.774568,0.584798,26,0.00005703,2,0.210892,0.034410,0.387374,0.817831,0.958821,0.676840,0.806277,0.801221,0.811334,0.007811,0.022420,0.044115,0.031105,0.000100
300,1226.559,0.251866,0.696854,0.785336,0.608371,28,0.00002619,1,0.189383,0.033358,0.345409,0.831877,0.960518,0.703236,0.815021,0.811533,0.818508,0.007551,0.019930,0.041688,0.028521,0.000100
325,1261.067,0.224374,0.722850,0.839431,0.606268,28,0.00007716,2,0.198685,0.035462,0.361908,0.828029,0.960800,0.695258,0.847440,0.869199,0.825681,0.008086,0.021144,0.031013,0.029145,0.000100
350,1479.424,0.212720,0.735384,0.853393,0.617375,30,0.00010063,1,0.196313,0.034305,0.358321,0.831609,0.962589,0.700629,0.860631,0.882669,0.838594,0.007826,0.020770,0.028381,0.028205,0.000100
375,1516.817,0.196448,0.748248,0.861404,0.635091,30,0.00000982,2,0.179687,0.026518,0.332855,0.844323,0.970884,0.717762,0.865366,0.884247,0.846485,0.005988,0.019347,0.026507,0.026305,0.000100
400,1737.987,0.180685,0.759518,0.869951,0.649084,27,0.00000314,2,0.165571,0.018731,0.312410,0.855486,0.979302,0.731670,0.869056,0.886246,0.851865,0.004138,0.017818,0.024673,0.024576,0.000100
425,1771.315,0.174393,0.767630,0.867303,0.667956,27,0.00008829,3,0.155946,0.013469,0.298422,0.864454,0.984907,0.744000,0.873137,0.878986,0.867288,0.002871,0.017074,0.025066,0.023072,0.000100
450,1986.578,0.168192,0.773342,0.874636,0.672049,30,0.00015712,2,0.149503,0.010628,0.288379,0.869137,0.988119,0.750155,0.874893,0.883931,0.865854,0.002237,0.016827,0.023644,0.022852,0.000100
475,2024.014,0.155238,0.786330,0.897059,0.675601,30,0.00009598,3,0.153504,0.008945,0.298063,0.868276,0.990214,0.746337,0.891028,0.905083,0.876973,0.001924,0.017318,0.019351,0.022751,0.000100
500,2259.457,0.156158,0.784566,0.905182,0.663950,29,0.00008119,5,0.166780,0.013259,0.320301,0.859072,0.985750,0.732394,0.896899,0.917184,0.876614,0.002841,0.018446,0.017615,0.023775,0.000100
525,2295.355,0.162444,0.781737,0.893494,0.669981,29,0.00014884,4,0.159703,0.020625,0.298780,0.861142,0.977883,0.744400,0.891040,0.911923,0.870158,0.004741,0.017178,0.020215,0.022939,0.000100
550,2526.465,0.170749,0.776577,0.884363,0.668790,29,0.00014158,3,0.161750,0.028307,0.295194,0.857822,0.969813,0.745831,0.887805,0.909397,0.866212,0.006440,0.016903,0.022181,0.023030,0.000100
575,2562.151,0.172752,0.777807,0.883669,0.671944,29,0.00010438,2,0.163040,0.034831,0.291248,0.855996,0.963308,0.748685,0.891048,0.914448,0.867647,0.008087,0.016765,0.022321,0.022813,0.000100
600,2784.103,0.155874,0.791347,0.899253,0.683441,31,0.00003668,4,0.151803,0.027781,0.275825,0.865253,0.970819,0.759687,0.898093,0.924234,0.871951,0.006359,0.015919,0.019084,0.021727,0.000100
625,2822.557,0.146060,0.794890,0.909769,0.680011,31,0.00012833,2,0.152978,0.015784,0.290172,0.867333,0.983206,0.751459,0.900730,0.924129,0.877331,0.003461,0.016575,0.016699,0.021939,0.000100
650,3058.907,0.140527,0.801915,0.920348,0.683481,29,0.00022006,1,0.154372,0.014627,0.294118,0.867517,0.984578,0.750456,0.909158,0.933810,0.884505,0.003293,0.016917,0.014757,0.021929,0.000100
675,3094.661,0.151338,0.796938,0.910917,0.682960,29,0.00020840,2,0.167634,0.021783,0.313486,0.859085,0.977132,0.741037,0.913909,0.930759,0.897059,0.004854,0.018131,0.016538,0.022367,0.000100
700,3314.571,0.145874,0.801586,0.910313,0.692859,28,0.00006509,0,0.159095,0.017258,0.300933,0.865703,0.981705,0.749702,0.913693,0.926023,0.901363,0.003670,0.017309,0.016707,0.021413,0.000100
725,3347.712,0.151847,0.799277,0.903783,0.694771,28,0.00000204,0,0.164232,0.018205,0.310258,0.863207,0.980601,0.745813,0.915283,0.920236,0.910330,0.004155,0.017900,0.018083,0.021505,0.000100
750,3565.745,0.146781,0.804091,0.907358,0.700824,28,0.00000275,0,0.160532,0.015469,0.305595,0.866561,0.983489,0.749633,0.918193,0.921393,0.914993,0.003523,0.017583,0.017407,0.020966,0.000100
775,3599.307,0.141618,0.810303,0.901540,0.719066,28,0.00000421,0,0.143258,0.011049,0.275466,0.878523,0.988023,0.769023,0.914323,0.911502,0.917145,0.002449,0.016097,0.018486,0.019446,0.000100
