job	pair	arm	config	seed	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_tversky	best_mean_tversky	final_patches	start_patches	max_patches	min_patches	mean_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
neg_sun_moon_hinge2_restart_importnet_aw0p1875	sun_moon	hinge2_restart_importnet	aw0p1875	0	converged	1900	0.167017	0.892896	0.807325	0.978467	0.893629	1825	0.958903	0.960062	18	20	20	18	18.104	0.035207	0.962115	0.921798	0.00008574	0	0	2	7012.084
neg_water_fire_hinge2_restart_importnet_aw0p1875	water_fire	hinge2_restart_importnet	aw0p1875	0	converged	1625	0.136820	0.894399	0.930669	0.858128	0.894874	1175	0.932107	0.936643	14	20	20	14	15.242	0.072996	0.929586	0.958681	0.00043212	0	0	6	4889.711
neg_cat_face_bass_hinge2_restart_importnet_aw0p1875	cat_face_bass	hinge2_restart_importnet	aw0p1875	0	shed_converged	2100	0.135056	0.912513	0.910671	0.914356	0.931423	1550	0.967242	0.970324	9	20	20	9	15.965	0.028481	0.970639	0.938489	0.00003616	0	0	11	11659.645
neg_horse_circle_hinge2_restart_importnet_aw0p1875	horse_circle	hinge2_restart_importnet	aw0p1875	0	converged	1525	0.199917	0.882828	0.783247	0.982409	0.886287	1275	0.953686	0.958431	14	20	20	14	16.000	0.039917	0.956573	0.914930	0.00017009	0	0	6	5095.563
neg_robot_man_hinge2_restart_importnet_aw0p1875	robot_man	hinge2_restart_importnet	aw0p1875	0	converged	2225	0.093742	0.913676	0.924088	0.903264	0.917793	1925	0.937789	0.946747	15	20	22	15	16.200	0.069430	0.934403	0.976851	0.00034954	1	1	7	7325.374
neg_sun_moon_hinge2_restart_importnet_aw0p25	sun_moon	hinge2_restart_importnet	aw0p25	0	converged	2225	0.194832	0.893090	0.804814	0.981366	0.893383	1925	0.954656	0.954669	16	20	20	16	16.489	0.040757	0.956754	0.926669	0.00016493	0	0	4	7659.697
neg_water_fire_hinge2_restart_importnet_aw0p25	water_fire	hinge2_restart_importnet	aw0p25	0	converged	1925	0.113425	0.912044	0.935877	0.888212	0.915475	1625	0.937138	0.943161	16	20	21	16	16.923	0.069942	0.933477	0.975276	0.00001746	1	0	5	6380.568
neg_cat_face_bass_hinge2_restart_importnet_aw0p25	cat_face_bass	hinge2_restart_importnet	aw0p25	0	shed_converged	2600	0.150098	0.916303	0.924768	0.907838	0.931022	2100	0.962975	0.967877	10	20	20	10	16.914	0.034760	0.964985	0.948253	0.00024301	0	0	10	9741.204
neg_horse_circle_hinge2_restart_importnet_aw0p25	horse_circle	hinge2_restart_importnet	aw0p25	0	converged	2250	0.204463	0.899001	0.824974	0.973028	0.899001	2250	0.945921	0.952534	14	20	20	14	15.495	0.053812	0.946032	0.944395	0.00000001	0	0	6	11359.270
neg_robot_man_hinge2_restart_importnet_aw0p25	robot_man	hinge2_restart_importnet	aw0p25	0	shed_converged	1850	0.116955	0.911236	0.901037	0.921435	0.931379	1400	0.944826	0.956026	10	20	20	10	16.773	0.058690	0.942850	0.964807	0.00010468	0	0	10	8231.416
