config	arm	n	final_mean_iou	best_mean_iou	final_mean_tversky	best_mean_tversky	final_patches	max_patches	final_mean_spill	final_mean_coverage	srd_total_deletes	final_step	total_seconds
aw0p1875	hinge2_restart_importnet	5	0.899262	0.904801	0.949945	0.954441	14	20.4	0.0492062	0.94215	6.4	1875	7196.48
aw0p25	hinge2_restart_importnet	5	0.906335	0.914052	0.949103	0.954853	13.2	20.2	0.0515922	0.95188	7	2170	8674.43
