job	pair	arm	frames	base_arm	seed	silhouette_weight	negative_space_weight	weight_ratio	area_normalized_view_loss	eval_interval	render_every	count_objective	count_lambda	lambda_count	stop_reason	final_step	count_target_reached	count_final_deficit	final_mean_iou	best_mean_iou	final_patches	shed_entered_step	shed_entry_patches	shed_evals	min_iou_after_target	pruned_patches	pruned_mean_iou	pruned_target_reached	start_patches	max_patches	min_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
h2c_sun_moon_hinge2	sun_moon	hinge2	104	srd	0	0.9	3.6	0.25	True	10	10	True	500	0	shed_converged	1030	True	0.000000	0.916019	0.932738	17	540	32	50	0.899641	-	-	-	20	34	17	0.043960	0.956150	0.954247	0.00032516	16	2	21	6046.027
h2c_water_fire_hinge2	water_fire	hinge2	119	srd	0	0.9	3.6	0.25	True	10	10	True	500	0	shed_converged	1180	True	0.000000	0.922537	0.937402	10	890	25	30	0.903620	-	-	-	20	28	10	0.048627	0.952225	0.966217	0.00003137	9	1	20	5191.936
h2c_water_fire_free	water_fire	free	142	srd	0	0.9	3.6	0.25	True	10	10	False	2000	0	converged	1410	-	-	0.911337	0.940563	28	-	-	-	-	-	-	-	20	29	20	0.090613	0.916808	0.993359	0.00006123	13	0	5	6664.666
h2c_cat_face_bass_hinge2	cat_face_bass	hinge2	101	srd	0	0.9	3.6	0.25	True	10	10	True	500	0	shed_converged	1000	True	0.000000	0.913969	0.940371	12	420	29	59	0.893015	-	-	-	20	30	12	0.031597	0.967567	0.942847	0.00000283	17	1	26	4830.862
h2c_cat_face_bass_free	cat_face_bass	free	169	srd	0	0.9	3.6	0.25	True	10	10	False	2000	0	converged	1680	-	-	0.940374	0.949630	24	-	-	-	-	-	-	-	20	27	20	0.042545	0.958407	0.980379	0.00011280	16	1	13	7970.975
h2c_dance_argument_hinge2	dance_argument	hinge2	146	srd	0	0.9	3.6	0.25	True	10	10	True	500	0	converged	1450	False	0.001107	0.908893	0.913061	35	-1	-1	0	0.903652	-	-	-	20	37	20	0.066961	0.936540	0.968666	0.00005634	32	1	18	8495.109
h2c_horse_circle_free	horse_circle	free	101	srd	0	0.9	3.6	0.25	True	10	10	False	2000	0	converged	1000	-	-	0.903915	0.913385	41	-	-	-	-	-	-	-	20	45	20	0.038345	0.960913	0.938571	0.00016178	31	0	10	7194.625
h2c_acm_scf_hinge2	acm_scf	hinge2	101	srd	0	0.9	3.6	0.25	True	10	10	True	500	0	converged	1000	False	0.092972	0.817028	0.822396	29	-1	-1	0	-1	-	-	-	20	31	20	0.134970	0.883134	0.925770	0.00000589	17	1	9	5415.760
h2c_acm_scf_free	acm_scf	free	101	srd	0	0.9	3.6	0.25	True	10	10	False	2000	0	converged	1000	-	-	0.840719	0.843120	29	-	-	-	-	-	-	-	20	32	20	0.142441	0.881171	0.954277	0.00000471	17	1	9	5552.313
h2c_teapot_droplets_free	teapot_droplets	free	101	srd	0	0.9	3.6	0.25	True	10	10	False	2000	0	converged	1000	-	-	0.774652	0.785498	27	-	-	-	-	-	-	-	20	30	20	0.235109	0.831933	0.936677	0.00009171	20	1	14	5039.018
