step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.360,0.187996,0.185776,0.190215,0.880670,20
25,26.520,0.311078,0.296878,0.325278,0.602234,20
50,189.877,0.413032,0.407782,0.418282,0.494583,23
75,219.296,0.515742,0.520764,0.510720,0.409988,23
100,410.690,0.585132,0.580914,0.589351,0.350663,26
125,444.984,0.634928,0.613065,0.656790,0.305551,26
150,644.298,0.666305,0.633872,0.698738,0.277669,26
175,678.751,0.693762,0.662267,0.725257,0.259606,26
200,886.748,0.724087,0.683068,0.765107,0.237764,25
225,919.695,0.745225,0.696393,0.794056,0.219623,25
250,1109.173,0.769434,0.721194,0.817674,0.198724,25
275,1142.600,0.788820,0.739126,0.838515,0.189580,25
300,1340.806,0.805602,0.755187,0.856017,0.184144,23
325,1371.296,0.815852,0.772671,0.859034,0.176111,23
350,1567.272,0.820900,0.777058,0.864742,0.175834,23
375,1597.798,0.828485,0.794026,0.862944,0.167167,23
400,1783.631,0.831993,0.799772,0.864213,0.163373,22
425,1812.638,0.830392,0.798643,0.862141,0.168171,22
450,1997.375,0.835566,0.811066,0.860065,0.158374,22
475,2026.532,0.838926,0.815184,0.862667,0.155418,22
500,2196.607,0.838524,0.812054,0.864994,0.156856,20
525,2222.940,0.834322,0.810405,0.858238,0.161938,20
550,2392.238,0.834655,0.810766,0.858543,0.159607,20
575,2418.726,0.826176,0.815391,0.836960,0.164734,20
600,2586.647,0.822585,0.817843,0.827326,0.170177,20
625,2613.123,0.812205,0.825635,0.798775,0.174445,20
650,2781.383,0.817488,0.824984,0.809992,0.173052,20
