pair	group	n	milestone	mean_steps	mean_seconds	reached
cat_face_bass	planar	3	iou_0p50	75	274.52	3/3
cat_face_bass	planar	3	iou_0p60	100	508.147	3/3
cat_face_bass	planar	3	iou_0p70	125	648.836	3/3
cat_face_bass	planar	3	iou_0p75	150	799.339	3/3
cat_face_bass	planar	3	iou_0p80	183.333	915.46	3/3
cat_face_bass	planar	3	iou_0p85	216.667	1210.62	3/3
cat_face_bass	planar	3	iou_0p90	291.667	1664.53	3/3
cat_face_bass	planar	3	rel_90pct	233.333	1237.41	3/3
cat_face_bass	planar	3	rel_95pct	308.333	1769.9	3/3
cat_face_bass	planar	3	rel_99pct	791.667	5101.63	3/3
cat_face_bass	sphere	3	iou_0p50	75	224.618	3/3
cat_face_bass	sphere	3	iou_0p60	100	415.722	3/3
cat_face_bass	sphere	3	iou_0p70	150	598.442	3/3
cat_face_bass	sphere	3	iou_0p75	166.667	738.634	3/3
cat_face_bass	sphere	3	iou_0p80	200	847.673	3/3
cat_face_bass	sphere	3	iou_0p85	241.667	1103.53	3/3
cat_face_bass	sphere	3	iou_0p90	616.667	3050.88	3/3
cat_face_bass	sphere	3	rel_90pct	233.333	1019.47	3/3
cat_face_bass	sphere	3	rel_95pct	383.333	1872.54	3/3
cat_face_bass	sphere	3	rel_99pct	891.667	4364.57	3/3
horse_circle	planar	3	iou_0p50	75	224.922	3/3
horse_circle	planar	3	iou_0p60	100	413.125	3/3
horse_circle	planar	3	iou_0p70	133.333	519.664	3/3
horse_circle	planar	3	iou_0p75	158.333	666.737	3/3
horse_circle	planar	3	iou_0p80	200	861.067	3/3
horse_circle	planar	3	iou_0p85	258.333	1159.09	3/3
horse_circle	planar	3	iou_0p90	408.333	2097.55	3/3
horse_circle	planar	3	rel_90pct	258.333	1159.09	3/3
horse_circle	planar	3	rel_95pct	366.667	1823.61	3/3
horse_circle	planar	3	rel_99pct	858.333	4837.6	3/3
horse_circle	sphere	3	iou_0p50	75	230.492	3/3
horse_circle	sphere	3	iou_0p60	100	426.158	3/3
horse_circle	sphere	3	iou_0p70	141.667	541.034	3/3
horse_circle	sphere	3	iou_0p75	175	766.615	3/3
horse_circle	sphere	3	iou_0p80	225	971.95	3/3
horse_circle	sphere	3	iou_0p85	316.667	1489.81	3/3
horse_circle	sphere	3	iou_0p90	666.667	3154.6	3/3
horse_circle	sphere	3	rel_90pct	258.333	1204.17	3/3
horse_circle	sphere	3	rel_95pct	525	2432.75	3/3
horse_circle	sphere	3	rel_99pct	891.667	4137.89	3/3
sun_moon	planar	3	iou_0p50	66.6667	208.791	3/3
sun_moon	planar	3	iou_0p60	83.3333	281.402	3/3
sun_moon	planar	3	iou_0p70	133.333	513	3/3
sun_moon	planar	3	iou_0p75	158.333	668.464	3/3
sun_moon	planar	3	iou_0p80	191.667	854.843	3/3
sun_moon	planar	3	iou_0p85	250	1214.69	3/3
sun_moon	planar	3	iou_0p90	400	2017.54	3/3
sun_moon	planar	3	rel_90pct	258.333	1219.77	3/3
sun_moon	planar	3	rel_95pct	375	1866	3/3
sun_moon	planar	3	rel_99pct	741.667	3779.37	3/3
sun_moon	sphere	3	iou_0p50	66.6667	211.831	3/3
sun_moon	sphere	3	iou_0p60	91.6667	347.618	3/3
sun_moon	sphere	3	iou_0p70	133.333	507.506	3/3
sun_moon	sphere	3	iou_0p75	175	734.771	3/3
sun_moon	sphere	3	iou_0p80	266.667	1136.34	3/3
sun_moon	sphere	3	iou_0p85	441.667	1915.28	3/3
sun_moon	sphere	3	iou_0p90	850	4156.45	2/3
sun_moon	sphere	3	rel_90pct	291.667	1226.77	3/3
sun_moon	sphere	3	rel_95pct	475	2097.99	3/3
sun_moon	sphere	3	rel_99pct	1150	5046.81	3/3
