job	pair	group	arm	seed	overlap_mode	overlap_repair	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	final_patches	final_overlap	best_mean_iou	best_mean_iou_step	best_loss	best_loss_step	srd_total_adds	srd_total_deletes	total_seconds	iou_0p50_steps	iou_0p50_seconds	iou_0p60_steps	iou_0p60_seconds	iou_0p70_steps	iou_0p70_seconds	iou_0p75_steps	iou_0p75_seconds	iou_0p80_steps	iou_0p80_seconds	iou_0p85_steps	iou_0p85_seconds	iou_0p90_steps	iou_0p90_seconds	rel_90pct_steps	rel_90pct_seconds	rel_95pct_steps	rel_95pct_seconds	rel_99pct_steps	rel_99pct_seconds
ovl_cat_face_bass_planar_seed0	cat_face_bass	planar	srd	0	planar	True	steps	2000	0.064674	0.958684	0.958564	0.958805	31	0.00014003	0.959865	1875	0.064127	1750	25	14	11777.556	75	225.264	100	415.234	100	415.234	150	651.185	200	904.739	250	1177.335	325	1506.592	275	1217.301	350	1779.295	925	5267.857
ovl_cat_face_bass_planar_seed1	cat_face_bass	planar	srd	1	planar	True	steps	2000	0.080990	0.951793	0.951452	0.952135	26	0.00006690	0.952388	1625	0.079338	1625	14	8	16095.065	75	370.310	100	685.371	150	1072.851	150	1072.851	175	1130.817	200	1509.526	250	1963.405	200	1509.526	250	1963.405	650	5403.103
ovl_cat_face_bass_planar_seed2	cat_face_bass	planar	srd	2	planar	True	steps	2000	0.081971	0.949113	0.941375	0.956851	28	0.00053575	0.952255	1200	0.076577	1350	24	16	11025.652	75	227.985	100	423.837	125	458.422	150	673.982	175	710.825	200	944.993	300	1523.587	225	985.406	325	1566.988	800	4633.934
ovl_cat_face_bass_sphere_seed0	cat_face_bass	sphere	srd	0	sphere	False	steps	2000	0.152143	0.901850	0.912893	0.890806	17	0.00715616	0.906758	875	0.146735	1350	22	25	8191.615	75	223.375	100	418.382	125	453.310	150	649.117	200	903.485	250	1194.715	375	1824.070	225	942.512	250	1194.715	350	1788.332
ovl_cat_face_bass_sphere_seed1	cat_face_bass	sphere	srd	1	sphere	False	steps	2000	0.111791	0.931536	0.916731	0.946341	23	0.00418907	0.933176	1950	0.109224	1825	20	17	9592.544	75	226.290	100	424.851	175	710.685	200	935.454	225	973.761	250	1213.258	850	4396.022	250	1213.258	350	1784.689	1050	5343.824
ovl_cat_face_bass_sphere_seed2	cat_face_bass	sphere	srd	2	sphere	False	steps	2000	0.105055	0.936679	0.916739	0.956620	19	0.01025543	0.941093	1450	0.094603	1525	19	20	9140.878	75	224.189	100	403.933	150	631.330	150	631.330	175	665.774	225	902.627	625	2932.549	225	902.627	550	2638.221	1275	5961.553
ovl_horse_circle_planar_seed0	horse_circle	planar	srd	0	planar	True	steps	2000	0.133649	0.935031	0.901173	0.968889	34	0.00047923	0.939211	1400	0.123145	1575	38	24	13616.470	75	228.583	100	428.808	150	684.784	175	722.488	225	998.474	275	1304.471	375	1949.092	275	1304.471	350	1900.081	700	4441.419
ovl_horse_circle_planar_seed1	horse_circle	planar	srd	1	planar	True	steps	2000	0.129311	0.937742	0.891293	0.984190	29	0.00011267	0.937970	1925	0.129311	2000	18	9	10865.763	75	225.595	100	420.734	125	454.857	150	675.735	200	950.116	275	1294.062	350	1889.116	275	1294.062	325	1621.939	625	3418.222
ovl_horse_circle_planar_seed2	horse_circle	planar	srd	2	planar	True	steps	2000	0.113022	0.942123	0.898769	0.985477	28	0.00003386	0.944019	1375	0.113014	1975	26	18	10792.683	75	220.589	100	389.832	125	419.351	150	601.989	175	634.610	225	878.733	500	2454.432	225	878.733	425	1948.809	1250	6653.145
ovl_horse_circle_sphere_seed0	horse_circle	sphere	srd	0	sphere	False	steps	2000	0.193138	0.903782	0.851465	0.956099	25	0.02275149	0.909743	1800	0.180288	1775	50	45	9736.189	75	232.803	100	436.510	175	714.226	225	968.449	275	1234.489	400	1984.511	575	2866.168	300	1467.061	425	2021.336	575	2866.168
ovl_horse_circle_sphere_seed1	horse_circle	sphere	srd	1	sphere	False	steps	2000	0.203412	0.896661	0.841557	0.951765	23	0.00601830	0.909948	675	0.183576	675	23	20	9607.093	75	231.089	100	431.229	125	465.905	150	681.636	225	995.024	275	1301.818	450	2405.737	225	995.024	300	1559.383	450	2405.737
ovl_horse_circle_sphere_seed2	horse_circle	sphere	srd	2	sphere	False	steps	2000	0.133507	0.930960	0.909375	0.952545	20	0.00689185	0.930960	2000	0.133507	2000	31	31	8551.524	75	227.585	100	410.736	125	442.970	150	649.759	175	686.337	275	1183.094	975	4191.907	250	1150.440	850	3717.522	1650	7141.754
