job	pair	arm	add_weight	delete_weight	split_weight	srd_candidates	lambda_count	seed	overlap_mode	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_spill	final_mean_precision	final_mean_coverage	final_patches	start_patches	max_patches	min_patches	mean_patches	final_overlap	srd_total_adds	srd_total_splits	srd_total_growth	srd_total_deletes	total_seconds
ow_cat_face_bass_split_p2	cat_face_bass	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	1200	0.087437	0.939335	0.944407	0.934263	0.942361	900	0.026146	0.973589	0.963892	27	20	29	20	26.592	0.00010937	12	1	13	6	5229.288
ow_cat_face_bass_split_p35	cat_face_bass	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1625	0.071701	0.949305	0.941268	0.957342	0.951425	1350	0.020536	0.979307	0.968733	22	20	25	20	23.303	0.00007375	15	3	18	16	6985.492
ow_cat_face_bass_split_p65	cat_face_bass	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1625	0.101006	0.934958	0.919996	0.949920	0.943299	1325	0.033839	0.966491	0.966330	21	20	25	20	21.970	0.00022315	18	2	20	19	6978.528
ow_cat_face_bass_split_p8	cat_face_bass	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	1025	0.075442	0.948730	0.951106	0.946354	0.948896	1000	0.025262	0.974765	0.972711	20	20	24	20	21.095	0.00003507	12	3	15	15	4023.215
ow_water_fire_default	water_fire	default	0.35	0.15	0.5	32	0	0	planar	converged	1525	0.029629	0.965045	0.961564	0.968526	0.973073	1225	0.015443	0.984484	0.979943	27	20	31	20	27.387	0.00007173	17	3	20	13	7517.420
ow_water_fire_add_p05	water_fire	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1350	0.036293	0.956445	0.969651	0.943239	0.960060	1050	0.013399	0.986371	0.969163	19	20	23	18	19.182	0.00008886	4	5	9	10	7716.783
ow_water_fire_add_p1	water_fire	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1700	0.037167	0.955936	0.967071	0.944800	0.959197	1300	0.012340	0.987393	0.967692	18	20	24	18	20.000	0.00000436	11	3	14	16	6234.372
ow_water_fire_add_p175	water_fire	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1200	0.054531	0.945770	0.952397	0.939143	0.954505	900	0.035388	0.965357	0.979150	21	20	24	20	21.694	0.00014917	9	4	13	12	4449.839
ow_water_fire_add_p25	water_fire	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	1000	0.054802	0.947126	0.978439	0.915813	0.947725	675	0.030893	0.969847	0.975533	21	20	25	20	21.829	0.00003196	9	2	11	10	3976.677
ow_water_fire_split_p2	water_fire	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	1000	0.058292	0.942614	0.952841	0.932386	0.945690	400	0.035794	0.964753	0.976238	26	20	30	20	26.146	0.00009260	12	0	12	6	5768.662
ow_water_fire_split_p35	water_fire	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1500	0.041134	0.956583	0.947181	0.965985	0.974222	1225	0.027115	0.973280	0.982414	21	20	24	20	22.148	0.00009618	10	3	13	12	5582.358
ow_water_fire_split_p65	water_fire	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1700	0.054527	0.944850	0.954440	0.935260	0.953355	1400	0.031543	0.969129	0.974471	22	20	27	20	23.739	0.00009908	12	2	14	12	8121.515
ow_water_fire_split_p8	water_fire	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	1075	0.058606	0.942716	0.950447	0.934986	0.954474	725	0.038116	0.962526	0.978606	22	20	27	20	22.864	0.00067035	10	5	15	13	5035.561
ow_acm_scf_default	acm_scf	default	0.35	0.15	0.5	32	0	0	planar	converged	1300	0.303810	0.793990	0.822322	0.765659	0.801703	1000	0.115856	0.894876	0.883326	28	20	29	20	27.321	0.00004628	15	2	17	9	9182.085
ow_acm_scf_add_p05	acm_scf	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	2900	0.254869	0.840253	0.823592	0.856914	0.842354	2875	0.083576	0.918729	0.911112	22	20	26	20	22.718	0.00000000	11	1	12	10	12157.658
ow_acm_scf_add_p1	acm_scf	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1225	0.216242	0.851906	0.893366	0.810446	0.863148	925	0.099608	0.908983	0.933751	29	20	29	20	26.680	0.00010400	13	2	15	6	5938.130
ow_acm_scf_add_p175	acm_scf	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	3000	0.215026	0.844273	0.855163	0.833382	0.851115	2300	0.065634	0.936261	0.899115	28	20	29	20	27.983	0.00003231	15	2	17	9	25682.270
ow_acm_scf_add_p25	acm_scf	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	1425	0.274109	0.819144	0.821040	0.817249	0.822397	1125	0.101149	0.907815	0.901855	30	20	32	20	29.207	0.00001599	14	2	16	6	7645.354
ow_acm_scf_split_p2	acm_scf	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	1550	0.258319	0.820346	0.852661	0.788031	0.843464	1300	0.094068	0.912595	0.894961	31	20	36	20	32.810	0.00183417	16	1	17	6	9071.111
ow_acm_scf_split_p35	acm_scf	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1100	0.236871	0.841027	0.901633	0.780420	0.843164	800	0.126819	0.892226	0.941082	38	20	40	20	34.400	0.00001402	22	0	22	4	11556.702
ow_acm_scf_split_p65	acm_scf	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1400	0.250685	0.835552	0.853697	0.817407	0.843104	1100	0.100509	0.907260	0.918296	31	20	33	20	30.298	0.00000743	19	2	21	10	8478.013
ow_acm_scf_split_p8	acm_scf	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	2850	0.243447	0.843033	0.878030	0.808036	0.851110	2550	0.113028	0.897798	0.935750	25	20	30	20	25.730	0.00000000	17	1	18	13	15011.407
ow_siggraph_sigchi_default	siggraph_sigchi	default	0.35	0.15	0.5	32	0	0	planar	converged	2725	0.157748	0.791738	0.912866	0.670611	0.874384	2425	0.106268	0.889854	0.867802	31	20	33	20	30.855	0.00001151	18	4	22	11	15869.312
ow_siggraph_sigchi_add_p05	siggraph_sigchi	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	2825	0.147008	0.841992	0.880132	0.803852	0.843944	2775	0.112402	0.897264	0.933998	20	20	25	20	22.228	0.00008997	11	4	15	15	10358.127
ow_siggraph_sigchi_add_p1	siggraph_sigchi	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1875	0.180237	0.805014	0.847415	0.762613	0.816433	1575	0.124120	0.883520	0.901981	20	20	24	20	21.553	0.00016646	6	5	11	11	7062.330
ow_siggraph_sigchi_add_p175	siggraph_sigchi	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1925	0.202112	0.795665	0.841606	0.749724	0.851211	1625	0.158918	0.860856	0.917629	25	20	29	20	25.538	0.00002389	12	6	18	13	8849.101
ow_siggraph_sigchi_add_p25	siggraph_sigchi	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	2450	0.118060	0.847782	0.903898	0.791667	0.858527	2150	0.067073	0.931287	0.902476	26	20	29	20	27.232	0.00011320	17	5	22	16	12283.476
ow_siggraph_sigchi_split_p2	siggraph_sigchi	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	2050	0.158346	0.826964	0.833810	0.820117	0.828800	1725	0.087641	0.914344	0.899122	28	20	29	20	27.639	0.00003618	15	4	19	11	10379.183
ow_siggraph_sigchi_split_p35	siggraph_sigchi	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1625	0.134808	0.836141	0.925489	0.746793	0.871739	1450	0.108342	0.895415	0.921358	29	20	34	20	29.818	0.00009194	23	2	25	16	11836.215
ow_siggraph_sigchi_split_p65	siggraph_sigchi	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1275	0.152066	0.821299	0.862468	0.780130	0.822998	975	0.091482	0.911122	0.893869	26	20	28	20	25.654	0.00054404	14	4	18	12	6397.198
ow_siggraph_sigchi_split_p8	siggraph_sigchi	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	1900	0.142262	0.842674	0.844597	0.840752	0.851072	1525	0.078893	0.923147	0.909071	16	20	24	16	18.442	0.00008929	7	6	13	17	6959.058
ow_crane_crab_default	crane_crab	default	0.35	0.15	0.5	32	0	0	planar	converged	2250	0.191229	0.781408	0.745065	0.817751	0.790735	1675	0.112306	0.888433	0.867119	28	20	32	20	28.989	0.00007175	18	3	21	13	11927.789
ow_crane_crab_add_p05	crane_crab	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1625	0.179341	0.783979	0.748167	0.819791	0.785146	1550	0.095214	0.903452	0.856590	23	20	28	20	23.818	0.00004316	13	6	19	16	6851.666
ow_crane_crab_add_p1	crane_crab	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	2525	0.160132	0.808580	0.768472	0.848688	0.808580	2525	0.094127	0.906943	0.882366	23	20	24	20	22.255	0.00007624	10	6	16	13	9913.603
ow_crane_crab_add_p175	crane_crab	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1375	0.179348	0.780348	0.738819	0.821876	0.792862	1225	0.086989	0.908620	0.846310	26	20	30	20	26.143	0.00001448	20	3	23	17	9020.124
ow_crane_crab_add_p25	crane_crab	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	2275	0.154800	0.807743	0.766868	0.848619	0.808695	2225	0.083295	0.915001	0.873051	28	20	30	20	27.391	0.00001132	20	3	23	15	11561.244
ow_crane_crab_split_p2	crane_crab	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	3325	0.143100	0.823461	0.796324	0.850599	0.828171	3050	0.065372	0.931451	0.876466	29	20	35	20	29.403	0.00002431	24	1	25	16	17184.233
ow_crane_crab_split_p35	crane_crab	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1275	0.186735	0.775249	0.712678	0.837821	0.784459	875	0.127006	0.878538	0.868383	32	20	36	20	32.500	0.00005765	18	2	20	8	7307.896
ow_crane_crab_split_p65	crane_crab	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1350	0.182527	0.776656	0.729467	0.823844	0.798965	1100	0.103929	0.895901	0.854213	29	20	33	20	28.782	0.00003396	18	3	21	12	7839.803
ow_crane_crab_split_p8	crane_crab	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	1875	0.149714	0.815483	0.764446	0.866519	0.818298	1800	0.104410	0.900299	0.897019	28	20	30	20	27.447	0.00002369	15	4	19	11	10652.351
ow_teapot_droplets_default	teapot_droplets	default	0.35	0.15	0.5	32	0	0	planar	converged	1575	0.111672	0.851551	0.914510	0.788592	0.855094	1275	0.118301	0.898142	0.945896	33	20	38	20	31.500	0.00015310	25	2	27	14	9124.073
ow_teapot_droplets_add_p05	teapot_droplets	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1000	0.152730	0.793981	0.903480	0.684483	0.811583	700	0.165690	0.861698	0.909156	27	20	28	20	26.024	0.00069087	14	2	16	9	4788.038
ow_teapot_droplets_add_p1	teapot_droplets	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1225	0.124080	0.835782	0.909466	0.762097	0.838008	1100	0.132350	0.887068	0.938072	32	20	35	20	30.320	0.00010053	18	3	21	9	6220.287
ow_teapot_droplets_add_p175	teapot_droplets	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1375	0.122028	0.839642	0.887417	0.791867	0.841193	1175	0.103880	0.906636	0.922711	30	20	33	20	28.821	0.00029457	22	3	25	15	6819.636
ow_teapot_droplets_add_p25	teapot_droplets	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	2175	0.099073	0.857670	0.939407	0.775934	0.857670	2175	0.112196	0.901206	0.945888	36	20	37	20	33.182	0.00007059	27	6	33	17	13308.328
ow_teapot_droplets_split_p2	teapot_droplets	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	2075	0.104572	0.851279	0.941770	0.760789	0.855839	1950	0.133509	0.888389	0.953937	36	20	41	20	35.143	0.00005554	27	0	27	11	13043.981
ow_teapot_droplets_split_p35	teapot_droplets	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1800	0.128747	0.830354	0.897460	0.763249	0.840984	1550	0.132192	0.887220	0.932528	35	20	37	20	31.493	0.00004694	26	4	30	15	10568.097
ow_teapot_droplets_split_p65	teapot_droplets	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1500	0.154678	0.800891	0.911689	0.690092	0.830491	1200	0.190588	0.849555	0.935026	37	20	39	20	33.984	0.00017994	25	3	28	11	9551.743
ow_teapot_droplets_split_p8	teapot_droplets	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	1000	0.169618	0.772720	0.884363	0.661078	0.775689	975	0.165224	0.855721	0.884801	29	20	34	20	28.756	0.00000674	15	5	20	11	5919.258
ow_dancer_guitar_default	dancer_guitar	default	0.35	0.15	0.5	32	0	0	planar	converged	1600	0.050480	0.931275	0.908415	0.954135	0.933643	1300	0.032357	0.967572	0.961026	35	20	40	20	34.662	0.00000124	25	1	26	11	10646.267
ow_dancer_guitar_add_p05	dancer_guitar	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1025	0.100424	0.878934	0.853649	0.904219	0.884840	725	0.074240	0.928150	0.943327	25	20	30	20	26.810	0.00005228	10	3	13	8	4709.263
ow_dancer_guitar_add_p1	dancer_guitar	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1750	0.047690	0.930489	0.911270	0.949709	0.934370	1450	0.027894	0.971630	0.956278	23	20	31	20	25.873	0.00001043	21	4	25	22	7995.436
ow_dancer_guitar_add_p175	dancer_guitar	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1225	0.083941	0.894849	0.866930	0.922768	0.899512	925	0.060029	0.941250	0.947708	27	20	34	20	29.320	0.00001307	22	2	24	17	6404.839
ow_dancer_guitar_add_p25	dancer_guitar	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	2425	0.058228	0.922898	0.909304	0.936491	0.926846	1950	0.037739	0.962206	0.957556	28	20	33	20	29.449	0.00024791	16	2	18	10	13232.733
ow_dancer_guitar_split_p2	dancer_guitar	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	2650	0.057912	0.918637	0.909145	0.928130	0.924435	2425	0.030100	0.969314	0.946179	29	20	34	20	29.542	0.00003179	25	2	27	18	13610.986
ow_dancer_guitar_split_p35	dancer_guitar	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1325	0.066428	0.910728	0.877646	0.943810	0.910728	1325	0.040677	0.958773	0.947231	27	20	34	20	30.148	0.00004950	15	2	17	10	7275.743
ow_dancer_guitar_split_p65	dancer_guitar	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1650	0.065586	0.917351	0.912036	0.922666	0.919489	1625	0.044910	0.955241	0.958546	27	20	34	20	29.179	0.00008515	24	3	27	20	9121.744
ow_dancer_guitar_split_p8	dancer_guitar	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	2325	0.069367	0.910615	0.899166	0.922064	0.911229	2300	0.041678	0.958244	0.948372	22	20	27	20	23.340	0.00001810	11	2	13	11	10325.474
ow_dance_argument_default	dance_argument	default	0.35	0.15	0.5	32	0	0	planar	converged	1375	0.131338	0.885865	0.839359	0.932372	0.885954	1075	0.058349	0.941792	0.935990	32	20	32	20	26.929	0.00015277	25	2	27	15	6628.005
ow_dance_argument_add_p05	dance_argument	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1800	0.206959	0.825208	0.781549	0.868866	0.835650	1425	0.063578	0.933599	0.875877	21	20	22	20	21.082	0.00005246	5	4	9	8	6949.794
ow_dance_argument_add_p1	dance_argument	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1575	0.162613	0.851278	0.791558	0.910997	0.861848	1325	0.048030	0.948481	0.890485	19	20	24	19	20.188	0.00021203	7	4	11	12	5748.216
ow_dance_argument_add_p175	dance_argument	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1025	0.159369	0.859688	0.794616	0.924759	0.872541	700	0.060910	0.936897	0.910017	25	20	27	20	25.048	0.00006093	10	2	12	7	4802.971
ow_dance_argument_add_p25	dance_argument	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	1025	0.172063	0.854603	0.797438	0.911767	0.858417	725	0.066331	0.931844	0.909595	27	20	27	20	25.762	0.00006579	14	1	15	8	4889.240
ow_dance_argument_split_p2	dance_argument	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	1000	0.139341	0.884471	0.847654	0.921288	0.886695	875	0.057989	0.941863	0.934794	27	20	30	20	26.902	0.00004688	17	2	19	12	4894.828
ow_dance_argument_split_p35	dance_argument	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1100	0.136639	0.885370	0.843497	0.927244	0.885908	975	0.054864	0.944578	0.932860	25	20	29	20	25.044	0.00001611	13	2	15	10	5260.452
ow_dance_argument_split_p65	dance_argument	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1000	0.193900	0.836229	0.799667	0.872791	0.855139	550	0.056619	0.940526	0.882354	23	20	27	20	23.878	0.00028200	12	1	13	10	4827.533
ow_dance_argument_split_p8	dance_argument	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	1375	0.149262	0.877431	0.826484	0.928378	0.891070	1100	0.074833	0.927714	0.940719	25	20	28	20	23.750	0.00001934	14	3	17	12	9095.340
