job	pair	arm	add_weight	delete_weight	split_weight	srd_candidates	lambda_count	seed	overlap_mode	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	best_mean_iou	best_mean_iou_step	final_mean_spill	final_mean_precision	final_mean_coverage	final_patches	start_patches	max_patches	min_patches	mean_patches	final_overlap	srd_total_adds	srd_total_splits	srd_total_growth	srd_total_deletes	total_seconds
ow_sun_moon_default	sun_moon	default	0.35	0.15	0.5	32	0	0	planar	converged	2775	0.079433	0.949383	0.924942	0.973824	0.954026	2475	0.037095	0.964429	0.983914	30	20	36	20	31.018	0.00023979	18	0	18	8	15949.234
ow_sun_moon_add_p05	sun_moon	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1100	0.158094	0.882449	0.851489	0.913409	0.891417	800	0.045545	0.952838	0.922218	24	20	26	20	24.622	0.00051017	7	3	10	6	4812.929
ow_sun_moon_add_p1	sun_moon	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1425	0.150772	0.901770	0.898266	0.905274	0.917608	1125	0.069516	0.932809	0.964472	27	20	31	20	27.586	0.00049918	16	2	18	11	7102.121
ow_sun_moon_add_p175	sun_moon	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1375	0.102221	0.930772	0.919107	0.942436	0.940607	1075	0.043344	0.958200	0.970806	30	20	33	20	29.179	0.00038186	16	3	19	9	7425.273
ow_sun_moon_add_p25	sun_moon	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	1125	0.102288	0.935532	0.921642	0.949421	0.938554	825	0.049632	0.952398	0.981663	33	20	37	20	32.957	0.00032712	19	2	21	8	6974.669
ow_sun_moon_split_p2	sun_moon	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	1075	0.106853	0.931973	0.908682	0.955264	0.934445	925	0.048648	0.953688	0.976550	29	20	32	20	28.909	0.00052781	14	1	15	6	5441.250
ow_sun_moon_split_p35	sun_moon	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1325	0.124846	0.923199	0.912370	0.934027	0.947633	1125	0.060908	0.941920	0.979208	31	20	34	20	30.444	0.00019236	15	2	17	6	7673.724
ow_sun_moon_split_p65	sun_moon	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1250	0.084243	0.944236	0.922882	0.965591	0.948516	975	0.034749	0.966533	0.976437	28	20	33	20	29.373	0.00106821	20	1	21	13	7656.900
ow_sun_moon_split_p8	sun_moon	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	1600	0.107740	0.915259	0.901094	0.929424	0.919810	1300	0.026441	0.973112	0.939176	19	20	30	19	23.862	0.00005302	12	2	14	15	7972.797
ow_horse_circle_default	horse_circle	default	0.35	0.15	0.5	32	0	0	planar	converged	1000	0.202664	0.906926	0.827925	0.985927	0.908734	550	0.078789	0.927638	0.973040	36	20	38	20	32.780	0.00001110	25	0	25	9	8538.472
ow_horse_circle_add_p05	horse_circle	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1000	0.245105	0.882317	0.787353	0.977282	0.891557	575	0.082020	0.921606	0.948493	27	20	28	20	25.537	0.00027869	15	2	17	10	4411.463
ow_horse_circle_add_p1	horse_circle	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1200	0.217887	0.901471	0.827018	0.975923	0.905808	900	0.083111	0.923343	0.971688	28	20	30	20	27.469	0.00007226	19	1	20	12	5694.844
ow_horse_circle_add_p175	horse_circle	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1625	0.203335	0.908055	0.849094	0.967016	0.914559	1325	0.079273	0.926295	0.977102	33	20	35	20	31.303	0.00011680	24	1	25	12	15183.485
ow_horse_circle_add_p25	horse_circle	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	1000	0.202413	0.901971	0.834020	0.969922	0.904826	575	0.076730	0.927637	0.967697	33	20	34	20	30.171	0.00006873	21	1	22	9	5671.541
ow_horse_circle_split_p2	horse_circle	split_p2	0.56	0.24	0.2	32	0	0	planar	converged	1000	0.224963	0.901600	0.825812	0.977388	0.903511	425	0.090527	0.918453	0.977773	29	20	34	20	29.049	0.00020203	17	1	18	9	5064.022
ow_horse_circle_split_p35	horse_circle	split_p35	0.455	0.195	0.35	32	0	0	planar	converged	1000	0.227735	0.902688	0.831929	0.973448	0.906738	600	0.091659	0.917284	0.980680	32	20	36	20	31.805	0.00003892	22	0	22	10	5702.581
ow_horse_circle_split_p65	horse_circle	split_p65	0.245	0.105	0.65	32	0	0	planar	converged	1000	0.209813	0.896803	0.839555	0.954051	0.921426	625	0.063177	0.937377	0.952136	35	20	39	20	34.463	0.00018773	24	0	24	9	7044.930
ow_horse_circle_split_p8	horse_circle	split_p8	0.14	0.06	0.8	32	0	0	planar	converged	3175	0.154867	0.924780	0.855378	0.994181	0.925722	2300	0.061309	0.943239	0.977295	30	20	30	20	29.203	0.00005941	18	1	19	9	19255.357
ow_cat_face_bass_default	cat_face_bass	default	0.35	0.15	0.5	32	0	0	planar	converged	1125	0.099994	0.929634	0.923722	0.935545	0.935409	825	0.032107	0.967642	0.959450	21	20	27	20	23.130	0.00003622	18	1	19	18	5022.306
ow_cat_face_bass_add_p05	cat_face_bass	add_p05	0.05	0.219231	0.730769	32	0	0	planar	converged	1100	0.109885	0.923014	0.933411	0.912617	0.941760	800	0.029203	0.970172	0.949968	19	20	24	19	19.844	0.00157606	7	5	12	13	3979.787
ow_cat_face_bass_add_p1	cat_face_bass	add_p1	0.1	0.207692	0.692308	32	0	0	planar	converged	1400	0.101296	0.932534	0.939548	0.925521	0.937028	1150	0.032687	0.967489	0.963097	17	20	25	17	19.667	0.00013227	13	2	15	18	5034.619
ow_cat_face_bass_add_p175	cat_face_bass	add_p175	0.175	0.190385	0.634615	32	0	0	planar	converged	1300	0.118198	0.925463	0.918178	0.932748	0.940857	975	0.045622	0.955039	0.967624	22	20	28	20	24.340	0.00013020	15	2	17	15	5847.765
ow_cat_face_bass_add_p25	cat_face_bass	add_p25	0.25	0.173077	0.576923	32	0	0	planar	converged	1400	0.118896	0.923983	0.929943	0.918023	0.944670	825	0.043409	0.957308	0.963992	24	20	26	20	24.105	0.00008804	14	1	15	11	6229.635
