family	swept_value	group	arm	n	add_weight	delete_weight	split_weight	final_mean_iou	best_mean_iou	final_patches	max_patches	srd_total_adds	srd_total_splits	srd_total_deletes	final_loss	final_mean_spill	final_mean_coverage	final_step	total_seconds
add	0.05	basic	add_p05	5	0.05	0.219231	0.730769	0.896896	0.90543	22.2	25.4	8.8	3.2	9.8	0.160849	0.0507486	0.940191	1490	6615.72
add	0.1	basic	add_p1	5	0.1	0.207692	0.692308	0.908723	0.916558	23.8	27.8	14.4	2	12.6	0.144673	0.0594524	0.96014	1390	6000.82
add	0.175	basic	add_p175	5	0.175	0.190385	0.634615	0.910867	0.920329	26.8	29.8	15.8	2.4	11.4	0.138662	0.0538522	0.958759	1700	11717.7
add	0.25	basic	add_p25	5	0.25	0.173077	0.576923	0.905551	0.911634	28.2	30.8	15.4	1.6	8.8	0.150502	0.0603626	0.958148	1190	6099.58
add	0.35	basic	default	5	0.35	0.15	0.5	0.908996	0.914589	28.4	32.2	18.6	1.2	11.4	0.143106	0.055858	0.955935	1545	9241.9
add	0.05	hard	add_p05	5	0.05	0.219231	0.730769	0.824819	0.832233	23.2	26.6	10.6	3.8	11.2	0.157292	0.102225	0.90379	1655	6731.38
add	0.1	hard	add_p1	5	0.1	0.207692	0.692308	0.846229	0.851848	23.4	27.6	12.4	4.4	13.4	0.13495	0.0853042	0.913836	1790	7387.97
add	0.175	hard	add_p175	5	0.175	0.190385	0.634615	0.834038	0.851464	26.6	30.6	17.2	3.2	13.8	0.14936	0.0941452	0.908875	1385	7179.33
add	0.25	hard	add_p25	5	0.25	0.173077	0.576923	0.858139	0.862031	29	31.2	18.8	3.4	13.2	0.120445	0.0733268	0.917713	2070	11055
add	0.35	hard	default	5	0.35	0.15	0.5	0.848367	0.867962	31.8	35	22.2	2.4	12.8	0.128493	0.0855162	0.915567	1905	10839.1
add	0.05	all	add_p05	10	0.05	0.219231	0.730769	0.860857	0.868831	22.7	26	9.7	3.5	10.5	0.159071	0.0764867	0.92199	1572.5	6673.55
add	0.1	all	add_p1	10	0.1	0.207692	0.692308	0.877476	0.884203	23.6	27.7	13.4	3.2	13	0.139812	0.0723783	0.936988	1590	6694.4
add	0.175	all	add_p175	10	0.175	0.190385	0.634615	0.872452	0.885896	26.7	30.2	16.5	2.8	12.6	0.144011	0.0739987	0.933817	1542.5	9448.53
add	0.25	all	add_p25	10	0.25	0.173077	0.576923	0.881845	0.886833	28.6	31	17.1	2.5	11	0.135473	0.0668447	0.937931	1630	8577.29
add	0.35	all	default	10	0.35	0.15	0.5	0.878682	0.891276	30.1	33.6	20.4	1.8	12.1	0.1358	0.0706871	0.935751	1725	10040.5
split	0.2	basic	split_p2	5	0.56	0.24	0.2	0.907174	0.913894	28.4	32.2	14.2	0.8	6.6	0.147173	0.0590366	0.957883	1165	6114.87
split	0.35	basic	split_p35	5	0.455	0.195	0.35	0.91456	0.924636	28.8	31.8	16.8	1.6	9.6	0.140457	0.0654074	0.970423	1310	7500.17
split	0.5	basic	default	5	0.35	0.15	0.5	0.908996	0.914589	28.4	32.2	18.6	1.2	11.4	0.143106	0.055858	0.955935	1545	9241.9
split	0.65	basic	split_p65	5	0.245	0.105	0.65	0.91128	0.92194	27.4	31.4	18.6	1.4	12.6	0.140055	0.0527634	0.957534	1395	7655.98
split	0.8	basic	split_p8	5	0.14	0.06	0.8	0.914904	0.920002	23.2	28.2	13.8	2.4	13	0.12802	0.0528312	0.960708	1945	10259.7
split	0.2	hard	split_p2	5	0.56	0.24	0.2	0.860962	0.864788	29.8	33.8	21.6	1.8	13.6	0.120654	0.0749222	0.9221	2220	11822.6
split	0.35	hard	split_p35	5	0.455	0.195	0.35	0.847568	0.858764	29.6	34	19	2.4	11.8	0.130671	0.0926162	0.920472	1425	8449.68
split	0.5	hard	default	5	0.35	0.15	0.5	0.848367	0.867962	31.8	35	22.2	2.4	12.8	0.128493	0.0855162	0.915567	1905	10839.1
split	0.65	hard	split_p65	5	0.245	0.105	0.65	0.830485	0.845416	28.4	32.2	18.6	2.8	13	0.149751	0.0975056	0.904802	1355	7547.6
split	0.8	hard	split_p8	5	0.14	0.06	0.8	0.843785	0.849472	24	28.6	12.4	4	12.4	0.136045	0.0930076	0.915996	1695	8590.3
split	0.2	all	split_p2	10	0.56	0.24	0.2	0.884068	0.889341	29.1	33	17.9	1.3	10.1	0.133913	0.0669794	0.939991	1692.5	8968.75
split	0.35	all	split_p35	10	0.455	0.195	0.35	0.881064	0.8917	29.2	32.9	17.9	2	10.7	0.135564	0.0790118	0.945448	1367.5	7974.93
split	0.5	all	default	10	0.35	0.15	0.5	0.878682	0.891276	30.1	33.6	20.4	1.8	12.1	0.1358	0.0706871	0.935751	1725	10040.5
split	0.65	all	split_p65	10	0.245	0.105	0.65	0.870882	0.883678	27.9	31.8	18.6	2.1	12.8	0.144903	0.0751345	0.931168	1375	7601.79
split	0.8	all	split_p8	10	0.14	0.06	0.8	0.879344	0.884737	23.6	28.4	13.1	3.2	12.7	0.132032	0.0729194	0.938352	1820	9424.98
