step,loss
1,0.785565
10,0.709563
20,0.649126
30,0.606673
40,0.573757
50,0.540971
60,0.504902
70,0.480733
80,0.454718
90,0.426965
100,0.405953
110,0.384904
120,0.363966
130,0.347492
140,0.330310
150,0.313624
160,0.294612
170,0.283023
180,0.268701
190,0.259161
200,0.251303
210,0.235488
220,0.221600
230,0.213818
240,0.204116
250,0.198586
260,0.188918
270,0.179341
280,0.166364
290,0.164323
300,0.159037
310,0.162217
320,0.156869
330,0.155353
340,0.151030
350,0.150161
360,0.150939
370,0.145499
380,0.143014
390,0.140653
400,0.136349
410,0.132712
420,0.130333
430,0.126962
440,0.122935
450,0.119547
460,0.122397
470,0.118180
480,0.113964
490,0.111324
500,0.105574
510,0.099285
520,0.098871
530,0.095482
540,0.094708
550,0.093090
560,0.100592
570,0.096711
580,0.094143
590,0.096336
600,0.090393
610,0.090378
620,0.089432
630,0.088957
640,0.090386
650,0.091033
660,0.096726
670,0.092944
680,0.091621
690,0.090198
700,0.087715
710,0.085644
720,0.086267
730,0.085442
740,0.085883
750,0.084115
760,0.084407
770,0.084822
780,0.085137
790,0.084937
800,0.083403
810,0.083671
820,0.085987
830,0.084158
840,0.085887
850,0.087245
860,0.085273
870,0.089675
880,0.086424
890,0.089656
900,0.090644
910,0.092105
920,0.091145
930,0.088668
940,0.090211
950,0.090567
960,0.093877
970,0.090138
980,0.089577
990,0.088400
1000,0.089080
1010,0.090270
1020,0.091291
1030,0.091490
1040,0.092499
1050,0.088229
1060,0.090486
1070,0.089874
1080,0.088934
1090,0.088098
1100,0.087874
1110,0.089039
1120,0.090071
1130,0.091865
1140,0.091434
1150,0.090526
1160,0.092492
1170,0.092696
1180,0.092730
1190,0.090771
1200,0.090781
1210,0.089213
1220,0.088897
1230,0.090842
1240,0.089437
1250,0.091520
1260,0.090516
1270,0.089677
1280,0.087234
1290,0.085783
1300,0.085933
1310,0.090383
1320,0.088253
1330,0.088642
1340,0.088099
1350,0.087614
1360,0.089222
1370,0.087699
1380,0.087062
1390,0.086238
1400,0.085763
1410,0.087552
1420,0.089462
1430,0.090462
1440,0.090315
1450,0.087637
1460,0.088364
1470,0.088316
1480,0.087554
1490,0.085767
1500,0.085301
1510,0.089445
1520,0.090187
1530,0.091044
1540,0.095044
1550,0.093461
1560,0.100454
1570,0.097439
1580,0.098257
1590,0.095643
1600,0.096943
1610,0.097175
1620,0.096474
1630,0.097489
1640,0.095921
1650,0.097270
1660,0.096804
1670,0.097384
1680,0.099467
1690,0.098866
1700,0.097857
1710,0.098058
1720,0.097996
1730,0.097386
1740,0.097808
1750,0.098954
1760,0.103733
1770,0.103536
1780,0.103197
1790,0.103345
1800,0.102924
1810,0.103787
1820,0.102951
1830,0.099793
1840,0.100908
1850,0.099243
1860,0.100690
1870,0.098449
1880,0.098375
1890,0.099445
1900,0.098589
1910,0.098267
1920,0.099391
1930,0.100911
1940,0.101636
1950,0.102510
1960,0.101776
1970,0.100924
1980,0.101786
1990,0.102858
2000,0.102598
