job_id	job_name	pair	arm	seed	output_dir
4226439	th_water_fire_constrained_s2	water_fire	constrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_water_fire_constrained_s2
4226440	th_water_fire_unconstrained_s0	water_fire	unconstrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_water_fire_unconstrained_s0
4226441	th_water_fire_unconstrained_s1	water_fire	unconstrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_water_fire_unconstrained_s1
4226442	th_water_fire_unconstrained_s2	water_fire	unconstrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_water_fire_unconstrained_s2
4226443	th_dance_argument_constrained_s0	dance_argument	constrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_dance_argument_constrained_s0
4226444	th_dance_argument_constrained_s1	dance_argument	constrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_dance_argument_constrained_s1
4226445	th_dance_argument_constrained_s2	dance_argument	constrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_dance_argument_constrained_s2
4226446	th_dance_argument_unconstrained_s0	dance_argument	unconstrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_dance_argument_unconstrained_s0
4226447	th_dance_argument_unconstrained_s1	dance_argument	unconstrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_dance_argument_unconstrained_s1
4226448	th_dance_argument_unconstrained_s2	dance_argument	unconstrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_dance_argument_unconstrained_s2
