patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
21,-1,0.310686,0.600085,0.829980,0.370190,0.668152,0.790197,0.168651
20,2,0.291135,0.605325,0.820504,0.390146,0.659618,0.822529,0.131897
19,0,0.285983,0.601681,0.820923,0.382439,0.649266,0.830987,0.118450
18,0,0.284097,0.601907,0.821821,0.381992,0.648050,0.833597,0.115192
17,8,0.284528,0.602605,0.822930,0.382280,0.650052,0.831351,0.117846
16,7,0.284558,0.600269,0.819769,0.380768,0.646554,0.832786,0.115617
15,5,0.282811,0.601694,0.822782,0.380606,0.647283,0.833971,0.114326
14,8,0.284003,0.599371,0.818006,0.380735,0.644037,0.835746,0.112317
13,11,0.290713,0.591720,0.803995,0.379445,0.635165,0.837639,0.109436
12,11,0.296419,0.579833,0.802951,0.356716,0.620299,0.832308,0.107852
11,2,0.308765,0.563728,0.783655,0.343801,0.601961,0.830228,0.105493
10,10,0.322071,0.545761,0.763692,0.327831,0.581321,0.828064,0.101845
9,6,0.336832,0.531019,0.735508,0.326531,0.565926,0.827498,0.102169
8,7,0.351993,0.514899,0.692526,0.337273,0.547148,0.841366,0.091272
7,3,0.369082,0.497431,0.662319,0.332543,0.529044,0.840358,0.090294
6,6,0.390004,0.477260,0.622927,0.331593,0.507826,0.841729,0.088660
5,1,0.421146,0.437489,0.575405,0.299573,0.464093,0.833273,0.087015
4,3,0.448058,0.403985,0.529700,0.278269,0.427565,0.829553,0.082722
3,3,0.481762,0.354781,0.465151,0.244412,0.371187,0.837610,0.066091
2,2,0.520366,0.292044,0.434385,0.149704,0.301687,0.786200,0.062670
1,0,0.589766,0.203914,0.256849,0.150979,0.206966,0.902417,0.019089
