pair,arm,patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
cat_face_bass,prune,4,2,0.719334,0.609064,0.550202,0.667925,0.631613,0.943463,0.037305
cat_face_bass,prune,3,1,0.907402,0.505836,0.424195,0.587476,0.520179,0.945466,0.028863
cat_face_bass,prune,2,2,1.145536,0.374120,0.151711,0.596530,0.383533,0.914405,0.024507
cat_face_bass,prune,1,0,1.412342,0.228992,0.127155,0.330829,0.234558,0.894852,0.023352
dance_argument,prune,26,-1,0.170227,0.893533,0.875376,0.911689,0.956085,0.932018,0.070552
dance_argument,prune,25,4,0.164994,0.894901,0.873924,0.915877,0.952772,0.936643,0.065340
dance_argument,prune,24,18,0.161564,0.897281,0.876094,0.918468,0.955959,0.936150,0.066066
dance_argument,prune,23,1,0.168681,0.888010,0.864881,0.911139,0.948547,0.933389,0.069078
dance_argument,prune,22,19,0.170787,0.891552,0.872824,0.910281,0.947656,0.937997,0.063506
dance_argument,prune,21,10,0.178406,0.883219,0.857271,0.909168,0.942826,0.933576,0.068565
dance_argument,prune,20,13,0.189805,0.876246,0.851204,0.901288,0.935714,0.932741,0.068887
dance_argument,prune,19,15,0.196847,0.871924,0.844352,0.899495,0.935001,0.928710,0.073629
dance_argument,prune,18,18,0.202001,0.868819,0.829667,0.907971,0.925542,0.933942,0.067273
dance_argument,prune,17,2,0.208046,0.871771,0.850548,0.892994,0.918234,0.945451,0.054033
dance_argument,prune,16,11,0.225729,0.860324,0.847084,0.873564,0.909352,0.942317,0.057536
dance_argument,prune,15,14,0.243406,0.852721,0.829910,0.875532,0.897924,0.944564,0.053863
dance_argument,prune,14,12,0.270830,0.835747,0.799273,0.872221,0.882663,0.939543,0.057567
dance_argument,prune,13,12,0.288433,0.830402,0.797866,0.862938,0.874325,0.942431,0.054050
dance_argument,prune,12,5,0.316137,0.810166,0.767372,0.852961,0.855346,0.937662,0.057658
dance_argument,prune,11,2,0.340186,0.803509,0.750728,0.856289,0.840914,0.945399,0.048499
dance_argument,prune,10,10,0.367830,0.783558,0.707003,0.860114,0.829939,0.928863,0.062966
dance_argument,prune,9,8,0.421922,0.760191,0.665804,0.854578,0.799989,0.932441,0.056002
dance_argument,prune,8,2,0.475600,0.732405,0.626689,0.838120,0.769720,0.929645,0.055628
dance_argument,prune,7,1,0.536133,0.698462,0.613362,0.783563,0.735550,0.925810,0.057415
dance_argument,prune,6,1,0.622493,0.650281,0.583649,0.716912,0.683992,0.924268,0.055298
dance_argument,prune,5,2,0.711157,0.602640,0.603128,0.602152,0.631322,0.932670,0.047569
dance_argument,prune,4,1,0.829887,0.538555,0.473546,0.603564,0.561264,0.923226,0.045256
dance_argument,prune,3,2,1.000129,0.445130,0.368602,0.521657,0.459433,0.923310,0.035537
dance_argument,prune,2,2,1.216052,0.328345,0.193252,0.463438,0.335783,0.897719,0.028521
dance_argument,prune,1,0,1.465887,0.185290,0.200260,0.170319,0.187652,0.939882,0.012376
horse_circle,prune,34,-1,0.182929,0.915127,0.894150,0.936104,0.958693,0.952443,0.047857
horse_circle,prune,33,21,0.168625,0.918725,0.891629,0.945822,0.958418,0.956455,0.043682
horse_circle,prune,32,28,0.156267,0.923704,0.897357,0.950052,0.959601,0.960696,0.039326
horse_circle,prune,31,8,0.151792,0.924088,0.893149,0.955028,0.959084,0.961517,0.038593
horse_circle,prune,30,26,0.149902,0.924549,0.895525,0.953573,0.958088,0.963062,0.036871
horse_circle,prune,29,13,0.148505,0.925618,0.898535,0.952700,0.958859,0.963503,0.036431
horse_circle,prune,28,13,0.147537,0.925988,0.898112,0.953863,0.959249,0.963483,0.036457
horse_circle,prune,27,13,0.148731,0.925236,0.895558,0.954915,0.958981,0.962875,0.037055
horse_circle,prune,26,13,0.149452,0.925706,0.897714,0.953698,0.959062,0.963357,0.036556
horse_circle,prune,25,13,0.152180,0.924368,0.895901,0.952835,0.958723,0.962232,0.037703
horse_circle,prune,24,23,0.151481,0.926348,0.898993,0.953703,0.959837,0.963284,0.036620
horse_circle,prune,23,23,0.152927,0.924116,0.897837,0.950396,0.957916,0.962840,0.037038
horse_circle,prune,22,19,0.152552,0.924381,0.898006,0.950756,0.956236,0.964822,0.034880
horse_circle,prune,21,14,0.155700,0.921770,0.891310,0.952230,0.955357,0.962735,0.037007
horse_circle,prune,20,19,0.159294,0.920608,0.886614,0.954602,0.952998,0.963736,0.035855
horse_circle,prune,19,15,0.159096,0.918395,0.879711,0.957080,0.949145,0.965066,0.034305
horse_circle,prune,18,4,0.161856,0.919324,0.884185,0.954463,0.951021,0.964304,0.035213
horse_circle,prune,17,5,0.163202,0.917557,0.881154,0.953960,0.949930,0.963431,0.036000
horse_circle,prune,16,13,0.171708,0.915048,0.875648,0.954448,0.949781,0.960678,0.038829
horse_circle,prune,15,14,0.182592,0.908134,0.867956,0.948312,0.942444,0.960521,0.038635
horse_circle,prune,14,12,0.195646,0.901745,0.854450,0.949039,0.936988,0.958677,0.040163
horse_circle,prune,13,10,0.204980,0.895155,0.847441,0.942868,0.928045,0.960649,0.037711
horse_circle,prune,12,12,0.222504,0.886514,0.828519,0.944509,0.919086,0.959828,0.037923
horse_circle,prune,11,2,0.247713,0.873888,0.800687,0.947089,0.906331,0.958195,0.038619
horse_circle,prune,10,9,0.277243,0.852101,0.735859,0.968343,0.875115,0.963218,0.031035
horse_circle,prune,9,7,0.307309,0.836616,0.714698,0.958534,0.860324,0.960411,0.032754
horse_circle,prune,8,8,0.337120,0.818036,0.718541,0.917531,0.838710,0.965044,0.028543
horse_circle,prune,7,4,0.375616,0.795404,0.675453,0.915356,0.812400,0.967317,0.024856
horse_circle,prune,6,2,0.452193,0.750545,0.692467,0.808623,0.762899,0.976394,0.017762
horse_circle,prune,5,5,0.523827,0.710870,0.633696,0.788043,0.721788,0.975198,0.017125
horse_circle,prune,4,0,0.629752,0.652359,0.643908,0.660810,0.664835,0.972435,0.019348
horse_circle,prune,3,0,0.754560,0.583700,0.612623,0.554777,0.596086,0.969673,0.020299
horse_circle,prune,2,1,0.942277,0.481374,0.519478,0.443270,0.492370,0.962966,0.021289
horse_circle,prune,1,0,1.255935,0.309721,0.302806,0.316636,0.315958,0.942126,0.020594
acm_scf,prune,30,-1,0.191969,0.872814,0.916133,0.829496,0.964225,0.905259,0.108819
acm_scf,prune,29,2,0.195374,0.870572,0.910905,0.830238,0.961433,0.905190,0.108019
acm_scf,prune,28,10,0.189109,0.872967,0.919368,0.826566,0.958652,0.910253,0.102593
acm_scf,prune,27,2,0.186562,0.875119,0.919503,0.830735,0.961739,0.909613,0.103061
acm_scf,prune,26,23,0.190749,0.869722,0.918521,0.820922,0.959499,0.906353,0.108211
