step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,1030.090,0.277278,0.611539,0.781256,0.441821,20,0.00000609,0,0.146323,0.031885,0.260760,0.821547,0.961954,0.681140,0.681598,0.806166,0.557030,0.007495,0.014839,0.042794,0.038464
775,1062.645,0.276009,0.613177,0.784413,0.441940,20,0.00000132,0,0.145739,0.034305,0.257174,0.821508,0.959433,0.683583,0.683459,0.811323,0.555595,0.008056,0.014750,0.042122,0.038478
800,1095.663,0.272072,0.615539,0.796294,0.434783,20,0.00000069,0,0.152059,0.033674,0.270445,0.816007,0.960698,0.671316,0.687738,0.823108,0.552367,0.007802,0.015406,0.039817,0.039270
825,1128.358,0.279789,0.609970,0.786880,0.433060,20,0.00000100,0,0.152550,0.037883,0.267217,0.814099,0.955670,0.672527,0.682735,0.816689,0.548780,0.008809,0.015297,0.041818,0.039391
850,1161.032,0.274671,0.615777,0.788526,0.443027,20,0.00000078,0,0.149969,0.034515,0.265423,0.819043,0.959406,0.678680,0.688180,0.815742,0.560617,0.008120,0.015082,0.041394,0.038562
875,1193.647,0.267544,0.618959,0.832113,0.405805,20,0.00000052,0,0.184740,0.034831,0.334648,0.789608,0.961123,0.618093,0.701352,0.861096,0.541607,0.008089,0.018846,0.032577,0.043137
900,1226.962,0.268419,0.617526,0.815007,0.420044,20,0.00000056,0,0.162767,0.033568,0.291966,0.805935,0.961677,0.650193,0.692524,0.842366,0.542683,0.007933,0.016696,0.036081,0.041078
925,1260.283,0.275147,0.609598,0.807285,0.411911,20,0.00000050,0,0.164517,0.034200,0.294835,0.802325,0.960649,0.644002,0.684126,0.834894,0.533357,0.007982,0.016886,0.037524,0.041758
950,1293.684,0.273043,0.615135,0.805318,0.424951,20,0.00000066,0,0.160479,0.032937,0.288020,0.808565,0.961913,0.655217,0.689594,0.831843,0.547346,0.007775,0.016608,0.038028,0.040795
975,1326.781,0.280979,0.607826,0.797823,0.417829,20,0.00000000,0,0.172946,0.034200,0.311693,0.798832,0.960201,0.637463,0.686585,0.825108,0.548063,0.007651,0.017930,0.039021,0.041848
1000,1359.765,0.290377,0.599206,0.773468,0.424944,20,0.00000084,0,0.159539,0.033568,0.285509,0.808225,0.959702,0.656749,0.672851,0.799432,0.546270,0.007727,0.016317,0.044202,0.040568
1025,1392.859,0.290204,0.598941,0.768667,0.429215,20,0.00000008,0,0.153716,0.033042,0.274390,0.812995,0.960051,0.665939,0.670526,0.794065,0.546987,0.007635,0.015701,0.045167,0.039899
1050,1425.773,0.286978,0.600425,0.778117,0.422732,20,0.00000148,0,0.157545,0.033884,0.281205,0.808911,0.959583,0.658239,0.673045,0.804483,0.541607,0.007626,0.016142,0.043065,0.040710
1075,1458.513,0.287229,0.606855,0.823219,0.390491,20,0.00000713,0,0.208748,0.036936,0.380560,0.772359,0.958525,0.586193,0.696361,0.853625,0.539096,0.008411,0.022035,0.034251,0.046267
1100,1492.358,0.279074,0.614834,0.829615,0.400052,20,0.00000171,1,0.203324,0.037567,0.369082,0.777800,0.958182,0.597418,0.704243,0.860781,0.547704,0.008637,0.021261,0.033008,0.045067
1125,1524.671,0.286377,0.607345,0.819870,0.394819,20,0.00000070,0,0.203905,0.036936,0.370875,0.775878,0.958363,0.593394,0.695700,0.850153,0.541248,0.008478,0.021354,0.034945,0.045598
1150,1556.797,0.293241,0.606505,0.819885,0.393125,20,0.00000166,0,0.216175,0.044617,0.387733,0.767517,0.950485,0.584550,0.701009,0.856466,0.545552,0.010260,0.022273,0.035303,0.046177
1175,1588.970,0.304512,0.596557,0.810091,0.383023,20,0.00000349,0,0.218541,0.051142,0.385940,0.761187,0.943343,0.579030,0.691184,0.851521,0.530846,0.011821,0.022236,0.037475,0.047000
