step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
700,3143.169,0.198361,0.761269,0.855796,0.666741,23,0.00024770,3,0.130289,0.020499,0.240078,0.876020,0.977066,0.774974,0.850075,0.873339,0.826811,0.004262,0.018613,0.025665,0.028960,0.000000
725,3172.848,0.193531,0.767992,0.856056,0.679928,23,0.00019192,4,0.128969,0.023133,0.234804,0.877860,0.974268,0.781452,0.857719,0.875859,0.839578,0.004590,0.018164,0.025468,0.027621,0.000000
750,3362.530,0.187317,0.774686,0.853195,0.696177,23,0.00017387,3,0.121508,0.023477,0.219539,0.884182,0.973819,0.794545,0.861120,0.873225,0.849015,0.004602,0.016991,0.025817,0.025785,0.000000
775,3391.950,0.188263,0.773844,0.854279,0.693409,23,0.00022237,2,0.121825,0.022446,0.221205,0.883913,0.974946,0.792879,0.860124,0.873454,0.846794,0.004499,0.017183,0.025807,0.026054,0.000000
800,3585.873,0.190400,0.777690,0.853724,0.701656,23,0.00018865,2,0.132064,0.024049,0.240078,0.878489,0.973228,0.783750,0.872182,0.874256,0.870108,0.004960,0.018465,0.026065,0.025645,0.000000
825,3615.219,0.185320,0.784980,0.855001,0.714960,23,0.00017437,2,0.129614,0.023591,0.235637,0.881593,0.973751,0.789435,0.879301,0.875172,0.883430,0.004797,0.018321,0.025694,0.024480,0.000000
850,3808.783,0.181042,0.790823,0.856044,0.725601,23,0.00017732,2,0.124948,0.027027,0.222870,0.884713,0.970176,0.799250,0.883248,0.879180,0.887316,0.005468,0.017308,0.025612,0.023305,0.000000
875,3838.616,0.175270,0.796538,0.860730,0.732346,23,0.00016088,2,0.122327,0.026225,0.218429,0.887257,0.971166,0.803348,0.887807,0.883303,0.892312,0.005269,0.016993,0.024605,0.022650,0.000000
900,4033.971,0.174967,0.799368,0.858130,0.740606,23,0.00009599,1,0.123153,0.027600,0.218707,0.887301,0.969651,0.804950,0.892198,0.881814,0.902581,0.005549,0.016990,0.025077,0.021954,0.000000
925,4064.211,0.175661,0.798514,0.857987,0.739042,23,0.00007186,1,0.124704,0.027371,0.222037,0.886274,0.969884,0.802664,0.892303,0.881470,0.903136,0.005557,0.017143,0.025163,0.022023,0.000000
950,4259.402,0.176196,0.797944,0.856649,0.739238,23,0.00008611,1,0.129021,0.026569,0.231474,0.883976,0.970674,0.797278,0.894881,0.879409,0.910352,0.005230,0.017604,0.025370,0.021925,0.000000
975,4289.591,0.172178,0.803971,0.855361,0.752580,23,0.00010626,1,0.119448,0.028516,0.210380,0.890490,0.968604,0.812376,0.895330,0.879753,0.910908,0.005617,0.016458,0.025461,0.020869,0.000000
1000,4483.306,0.171090,0.804624,0.854311,0.754938,23,0.00005144,1,0.118305,0.028172,0.208437,0.891470,0.968924,0.814017,0.895337,0.878378,0.912295,0.005633,0.016061,0.025743,0.020429,0.000000
1025,4513.448,0.170272,0.805915,0.856569,0.755261,23,0.00003743,1,0.119715,0.025996,0.213433,0.891186,0.971269,0.811103,0.897647,0.878836,0.916459,0.005322,0.016486,0.025499,0.020345,0.000000
1050,4707.714,0.170192,0.806807,0.851480,0.762135,23,0.00007887,1,0.116016,0.025538,0.206495,0.894099,0.971585,0.816613,0.896368,0.873225,0.919512,0.005119,0.016050,0.026301,0.019827,0.000000
1075,4737.784,0.170114,0.807475,0.855547,0.759404,23,0.00005648,2,0.117591,0.025080,0.210103,0.893056,0.972198,0.813913,0.897980,0.877004,0.918956,0.005285,0.016368,0.025765,0.020100,0.000000
1100,4930.044,0.165282,0.810723,0.853918,0.767528,23,0.00007340,1,0.114032,0.024622,0.203442,0.896066,0.972629,0.819503,0.899309,0.874943,0.923675,0.004763,0.015825,0.025552,0.019230,0.000000
1125,4959.896,0.166577,0.809005,0.858036,0.759973,23,0.00006794,2,0.121453,0.025309,0.217596,0.890826,0.972036,0.809616,0.902546,0.879753,0.925340,0.005027,0.016427,0.025037,0.019746,0.000000
1150,5153.286,0.166332,0.811328,0.852285,0.770370,23,0.00005389,2,0.113128,0.027256,0.199001,0.896276,0.969808,0.822744,0.899595,0.875515,0.923675,0.005475,0.015402,0.026075,0.018918,0.000000
1175,5182.949,0.163708,0.814419,0.857812,0.771026,23,0.00010325,2,0.113666,0.026111,0.201221,0.896353,0.971190,0.821516,0.903192,0.880211,0.926173,0.005324,0.015478,0.025338,0.018807,0.000000
1200,5378.869,0.164603,0.813791,0.855389,0.772193,23,0.00011885,1,0.115030,0.026340,0.203719,0.895551,0.970871,0.820230,0.903712,0.877920,0.929503,0.005335,0.015640,0.025668,0.018685,0.000000
1225,5408.400,0.165155,0.816245,0.856142,0.776349,23,0.00019189,1,0.119016,0.029317,0.208715,0.892926,0.967803,0.818050,0.909813,0.881241,0.938385,0.005777,0.016274,0.025334,0.018648,0.000000
