job_id	job_name	pair	arm	lambda	output_dir
4179469	pc_sun_moon_hinge	sun_moon	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_sun_moon_hinge
4179470	pc_sun_moon_nopen	sun_moon	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_sun_moon_nopen
4179471	pc_sun_moon_penalty	sun_moon	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_sun_moon_penalty
4179472	pc_sun_moon_prune	sun_moon	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_sun_moon_prune
4179473	pc_horse_circle_hinge	horse_circle	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_horse_circle_hinge
4179474	pc_horse_circle_nopen	horse_circle	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_horse_circle_nopen
4179475	pc_horse_circle_penalty	horse_circle	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_horse_circle_penalty
4179476	pc_horse_circle_prune	horse_circle	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_horse_circle_prune
4179477	pc_cat_face_bass_hinge	cat_face_bass	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_cat_face_bass_hinge
4179478	pc_cat_face_bass_nopen	cat_face_bass	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_cat_face_bass_nopen
4179479	pc_cat_face_bass_penalty	cat_face_bass	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_cat_face_bass_penalty
4179480	pc_cat_face_bass_prune	cat_face_bass	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_cat_face_bass_prune
4179481	pc_water_fire_hinge	water_fire	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_water_fire_hinge
4179482	pc_water_fire_nopen	water_fire	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_water_fire_nopen
4179483	pc_water_fire_penalty	water_fire	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_water_fire_penalty
4179484	pc_water_fire_prune	water_fire	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_water_fire_prune
4179485	pc_acm_scf_hinge	acm_scf	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_acm_scf_hinge
4179486	pc_acm_scf_nopen	acm_scf	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_acm_scf_nopen
4179487	pc_acm_scf_penalty	acm_scf	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_acm_scf_penalty
4179488	pc_acm_scf_prune	acm_scf	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_acm_scf_prune
4179489	pc_siggraph_sigchi_hinge	siggraph_sigchi	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_siggraph_sigchi_hinge
4179490	pc_siggraph_sigchi_nopen	siggraph_sigchi	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_siggraph_sigchi_nopen
4179491	pc_siggraph_sigchi_penalty	siggraph_sigchi	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_siggraph_sigchi_penalty
4179492	pc_siggraph_sigchi_prune	siggraph_sigchi	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_siggraph_sigchi_prune
4179493	pc_crane_crab_hinge	crane_crab	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_crane_crab_hinge
4179494	pc_crane_crab_nopen	crane_crab	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_crane_crab_nopen
4179495	pc_crane_crab_penalty	crane_crab	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_crane_crab_penalty
4179496	pc_crane_crab_prune	crane_crab	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_crane_crab_prune
4179497	pc_teapot_droplets_hinge	teapot_droplets	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_teapot_droplets_hinge
4179498	pc_teapot_droplets_nopen	teapot_droplets	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_teapot_droplets_nopen
4179499	pc_teapot_droplets_penalty	teapot_droplets	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_teapot_droplets_penalty
4179500	pc_teapot_droplets_prune	teapot_droplets	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_teapot_droplets_prune
4179501	pc_dancer_guitar_hinge	dancer_guitar	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_dancer_guitar_hinge
4179502	pc_dancer_guitar_nopen	dancer_guitar	nopen	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_dancer_guitar_nopen
4179503	pc_dancer_guitar_penalty	dancer_guitar	penalty	0.01	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_dancer_guitar_penalty
4179504	pc_dancer_guitar_prune	dancer_guitar	prune	0.0001	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_dancer_guitar_prune
4179505	pc_dance_argument_hinge	dance_argument	hinge	0	/oscar/home/cjmok/automated-perspective-sculptor/results/pcompare/pc_20260722_1330/pc_dance_argument_hinge
