pair	group	n	milestone	mean_steps	mean_seconds	reached
horse_circle	basic	1	iou_0p50	75	53.553	1/1
horse_circle	basic	1	iou_0p60	125	88.626	1/1
horse_circle	basic	1	iou_0p70	200	140.64	1/1
horse_circle	basic	1	iou_0p75	225	158.335	1/1
horse_circle	basic	1	iou_0p80	275	193.729	1/1
horse_circle	basic	1	iou_0p85	-	-	0/1
horse_circle	basic	1	iou_0p90	-	-	0/1
horse_circle	basic	1	rel_90pct	225	158.335	1/1
horse_circle	basic	1	rel_95pct	275	193.729	1/1
horse_circle	basic	1	rel_99pct	350	247.494	1/1
robot_man	basic	1	iou_0p50	50	48.513	1/1
robot_man	basic	1	iou_0p60	100	97.062	1/1
robot_man	basic	1	iou_0p70	175	170.502	1/1
robot_man	basic	1	iou_0p75	225	218.693	1/1
robot_man	basic	1	iou_0p80	300	291.256	1/1
robot_man	basic	1	iou_0p85	700	665.93	1/1
robot_man	basic	1	iou_0p90	-	-	0/1
robot_man	basic	1	rel_90pct	325	315.314	1/1
robot_man	basic	1	rel_95pct	725	690.963	1/1
robot_man	basic	1	rel_99pct	1525	1479.9	1/1
