step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
750,2574.067,0.126019,0.837585,0.817048,0.858123,19,0.00003392,1,0.067303,0.086225,0.048381,0.930207,0.911448,0.948966,0.893569,0.887497,0.899640,0.008973,0.005851,0.018799,0.015787
775,2598.442,0.127332,0.836391,0.814486,0.858296,19,0.00001376,2,0.066366,0.085609,0.047122,0.930954,0.911727,0.950181,0.891477,0.884213,0.898741,0.009012,0.005811,0.019131,0.015898
800,2733.971,0.122881,0.841295,0.821986,0.860605,16,0.00000763,0,0.062926,0.079450,0.046403,0.934407,0.917817,0.950997,0.893916,0.887292,0.900540,0.008424,0.005708,0.018329,0.015564
825,2754.116,0.118607,0.845757,0.825376,0.866138,16,0.00003109,0,0.060935,0.079245,0.042626,0.936616,0.918307,0.954926,0.896920,0.890782,0.903058,0.008368,0.005165,0.017938,0.014824
850,2881.568,0.115130,0.849470,0.832504,0.866437,15,0.00006255,1,0.057368,0.072470,0.042266,0.940107,0.924926,0.955289,0.897946,0.892835,0.903058,0.007754,0.005109,0.017153,0.014777
875,2901.388,0.113106,0.849169,0.829775,0.868563,15,0.00007438,1,0.052284,0.067337,0.037230,0.944828,0.929341,0.960314,0.893275,0.885650,0.900899,0.007228,0.004446,0.017415,0.014432
900,3026.395,0.110405,0.851392,0.830352,0.872433,17,0.00010658,1,0.050395,0.067337,0.033453,0.946805,0.929386,0.964224,0.893942,0.886266,0.901619,0.007183,0.003968,0.017292,0.013909
925,3048.111,0.106990,0.853969,0.830515,0.877423,17,0.00017804,0,0.049200,0.068364,0.030036,0.948150,0.928464,0.967835,0.895535,0.887292,0.903777,0.007016,0.003561,0.016992,0.013341
950,3170.985,0.106642,0.857087,0.835609,0.878566,15,0.00018490,1,0.050780,0.067748,0.033813,0.946768,0.929427,0.964108,0.900246,0.892219,0.908273,0.007222,0.003966,0.016734,0.013176
975,3189.467,0.106685,0.857469,0.835601,0.879337,15,0.00003690,0,0.051459,0.071443,0.031475,0.946281,0.926099,0.966462,0.901157,0.895299,0.907014,0.007549,0.003761,0.016748,0.013150
1000,3311.804,0.104271,0.858474,0.831963,0.884985,15,0.00003845,1,0.051432,0.073907,0.028957,0.946390,0.923599,0.969181,0.902031,0.893451,0.910612,0.007600,0.003411,0.016913,0.012329
1025,3330.961,0.100494,0.862881,0.839043,0.886719,15,0.00000861,1,0.047579,0.072675,0.022482,0.950544,0.925285,0.975803,0.903338,0.900021,0.906655,0.007673,0.002632,0.016281,0.012062
1050,3450.364,0.099008,0.866506,0.841048,0.891963,15,0.00002428,0,0.046897,0.073291,0.020504,0.951438,0.924905,0.977971,0.906471,0.902689,0.910252,0.007892,0.002473,0.016230,0.011585
1075,3469.023,0.098725,0.867782,0.844364,0.891201,15,0.00001123,0,0.048167,0.076370,0.019964,0.950497,0.922484,0.978509,0.908921,0.908848,0.908993,0.008214,0.002414,0.015921,0.011671
1100,3589.134,0.100074,0.866097,0.842346,0.889848,15,0.00002123,1,0.049361,0.078218,0.020504,0.949314,0.920708,0.977920,0.908163,0.908232,0.908094,0.008198,0.002511,0.016061,0.011938
1125,3607.713,0.101409,0.863804,0.843156,0.884453,15,0.00006416,1,0.051261,0.079860,0.022662,0.947460,0.919362,0.975558,0.907494,0.910491,0.904496,0.008420,0.002676,0.015837,0.012403
1150,3730.434,0.099730,0.864014,0.847214,0.880813,15,0.00010688,1,0.044675,0.072264,0.017086,0.953799,0.926314,0.981284,0.902151,0.908438,0.895863,0.007741,0.002009,0.015530,0.012813
1175,3749.259,0.097726,0.864881,0.854563,0.875199,15,0.00003944,1,0.043008,0.068569,0.017446,0.955470,0.930155,0.980784,0.901814,0.913160,0.890468,0.007230,0.001995,0.014575,0.013378
1200,3868.683,0.096021,0.866726,0.857501,0.875951,15,0.00001364,0,0.039799,0.063231,0.016367,0.958546,0.935144,0.981948,0.901005,0.911722,0.890288,0.006559,0.001962,0.014276,0.013467
1225,3887.172,0.093550,0.869983,0.861942,0.878023,15,0.00000106,0,0.041058,0.063231,0.018885,0.957392,0.935457,0.979327,0.905524,0.916444,0.894604,0.006508,0.002232,0.013654,0.013159
1250,4005.400,0.094676,0.868256,0.859239,0.877274,15,0.00000452,0,0.040878,0.063231,0.018525,0.957478,0.935267,0.979688,0.903548,0.913570,0.893525,0.006608,0.002206,0.013974,0.013177
1275,4023.603,0.094626,0.868548,0.860860,0.876236,15,0.00000765,0,0.041995,0.065284,0.018705,0.956509,0.933542,0.979475,0.904843,0.917060,0.892626,0.006766,0.002188,0.013847,0.013216
1300,4143.804,0.093073,0.870354,0.864076,0.876633,15,0.00002208,0,0.040430,0.061794,0.019065,0.958001,0.936897,0.979105,0.905408,0.917471,0.893345,0.006476,0.002215,0.013535,0.013138
1325,4162.185,0.092874,0.871315,0.864938,0.877691,15,0.00001804,0,0.040019,0.060973,0.019065,0.958413,0.937697,0.979130,0.906050,0.917676,0.894424,0.006439,0.002215,0.013520,0.013107
1350,4281.998,0.091125,0.872634,0.868900,0.876369,15,0.00004143,0,0.039249,0.060152,0.018345,0.959280,0.938703,0.979858,0.906806,0.921166,0.892446,0.006306,0.002145,0.013037,0.013103
1375,4300.670,0.090283,0.873414,0.871960,0.874868,15,0.00002013,0,0.037042,0.055020,0.019065,0.961315,0.943567,0.979064,0.905741,0.919934,0.891547,0.005778,0.002248,0.012683,0.013393
1400,4413.798,0.083493,0.880019,0.884509,0.875530,14,0.00006835,0,0.030190,0.041675,0.018705,0.968092,0.956726,0.979459,0.906639,0.921371,0.891906,0.004302,0.002240,0.011187,0.013357
1425,4431.126,0.086093,0.876997,0.880822,0.873172,14,0.00006592,0,0.035055,0.049066,0.021043,0.963260,0.949578,0.976941,0.907794,0.924040,0.891547,0.004959,0.002396,0.011412,0.013593
1450,4545.332,0.084124,0.879907,0.886180,0.873634,14,0.00004067,1,0.032424,0.044344,0.020504,0.965898,0.954276,0.977519,0.908512,0.925477,0.891547,0.004474,0.002392,0.010948,0.013651
1475,4563.058,0.083714,0.880396,0.887572,0.873220,14,0.00008709,1,0.030924,0.039006,0.022842,0.967241,0.959419,0.975064,0.907679,0.922193,0.893165,0.004047,0.002678,0.010824,0.013698
1500,4676.514,0.084442,0.879684,0.887640,0.871727,14,0.00006102,0,0.032516,0.041470,0.023561,0.965670,0.957067,0.974273,0.908359,0.924451,0.892266,0.004223,0.002758,0.010739,0.013904
1525,4693.912,0.084250,0.879424,0.887987,0.870860,14,0.00007561,0,0.029114,0.037364,0.020863,0.969045,0.961019,0.977071,0.905097,0.921166,0.889029,0.003883,0.002540,0.010854,0.014000
