step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.372,0.883136,0.184212,0.187488,0.180936,20,0.00009523,0,0.477185,0.106808,0.847561,0.471523,0.660194,0.282853,0.270902,0.207513,0.334290,0.025029,0.049990,0.172524,0.084323,0.000000
25,27.025,0.652818,0.305707,0.270881,0.340532,20,0.00003389,2,0.240124,0.051984,0.428264,0.688743,0.845721,0.531765,0.385666,0.284963,0.486370,0.011983,0.024973,0.147048,0.052072,0.000000
50,192.629,0.545083,0.409508,0.386915,0.432102,23,0.00033081,2,0.212113,0.045459,0.378766,0.755154,0.898971,0.611336,0.500136,0.404504,0.595768,0.010598,0.021625,0.122800,0.042706,0.000000
75,222.126,0.480911,0.460303,0.477547,0.443058,23,0.00026607,4,0.198146,0.045144,0.351148,0.773670,0.917053,0.630287,0.548871,0.499106,0.598637,0.010075,0.020012,0.104179,0.041019,0.000000
100,383.300,0.414420,0.511860,0.563073,0.460647,22,0.00036685,3,0.181715,0.032727,0.330703,0.798141,0.946719,0.649563,0.597242,0.581501,0.612984,0.007580,0.018574,0.086208,0.038769,0.000000
125,411.739,0.372497,0.546665,0.610039,0.483292,22,0.00021913,2,0.161965,0.025150,0.298780,0.819423,0.961339,0.677507,0.626536,0.625381,0.627690,0.005691,0.017005,0.076304,0.036463,0.000000
150,577.963,0.338035,0.579274,0.648760,0.509787,23,0.00001167,3,0.152580,0.022519,0.282640,0.832684,0.967168,0.698200,0.658622,0.663369,0.653874,0.004992,0.015898,0.068313,0.033918,0.000000
175,608.458,0.306081,0.612856,0.688580,0.537132,23,0.00003852,1,0.144129,0.022835,0.265423,0.843881,0.968596,0.719165,0.692001,0.704304,0.679699,0.005148,0.014821,0.060472,0.031561,0.000000
200,804.377,0.289576,0.633391,0.725000,0.541783,26,0.00000788,1,0.157353,0.027044,0.287661,0.836499,0.964953,0.708045,0.721120,0.744607,0.697633,0.006167,0.016152,0.053582,0.031782,0.000000
225,838.647,0.277567,0.647129,0.750128,0.544130,26,0.00004803,1,0.166255,0.027991,0.304519,0.832380,0.964972,0.699788,0.740476,0.771125,0.709828,0.006361,0.017224,0.048631,0.032088,0.000000
250,1054.441,0.256514,0.675924,0.782096,0.569752,28,0.00006034,1,0.174128,0.034410,0.313845,0.831896,0.959201,0.704591,0.778786,0.809008,0.748565,0.007765,0.017746,0.042376,0.030359,0.000000
275,1091.719,0.249707,0.685303,0.789318,0.581288,28,0.00016381,3,0.173666,0.032411,0.314921,0.834979,0.961749,0.708209,0.789624,0.814901,0.764347,0.007272,0.018034,0.040780,0.029764,0.000000
300,1331.587,0.226952,0.705879,0.817096,0.594662,31,0.00007311,5,0.160292,0.030411,0.290172,0.845358,0.965139,0.725577,0.804581,0.841945,0.767217,0.007003,0.016722,0.035419,0.028353,0.000000
325,1372.502,0.212311,0.720597,0.836776,0.604417,31,0.00004247,5,0.158547,0.034094,0.282999,0.847362,0.962092,0.732633,0.820386,0.865306,0.775466,0.007783,0.016142,0.031449,0.027349,0.000000
350,1627.923,0.202993,0.732352,0.853043,0.611661,33,0.00011555,4,0.167286,0.030411,0.304161,0.845259,0.966559,0.723958,0.838345,0.878986,0.797704,0.006978,0.017264,0.028318,0.027198,0.000000
375,1671.240,0.191465,0.744208,0.854497,0.633918,33,0.00010279,5,0.147635,0.028412,0.266858,0.859634,0.968681,0.750587,0.840930,0.878775,0.803085,0.006488,0.015198,0.028027,0.024928,0.000000
400,1950.804,0.179362,0.758596,0.859485,0.657707,33,0.00006575,3,0.137517,0.020730,0.254304,0.870645,0.976916,0.764374,0.851133,0.877302,0.824964,0.004851,0.014585,0.026926,0.023128,0.000000
425,1993.695,0.167322,0.768871,0.878612,0.659129,33,0.00006419,5,0.142502,0.015995,0.269010,0.869524,0.982397,0.756652,0.864554,0.892665,0.836442,0.003633,0.015346,0.023085,0.023185,0.000000
450,2269.412,0.165376,0.770084,0.883909,0.656259,34,0.00011114,5,0.144709,0.014311,0.275108,0.868435,0.984288,0.752581,0.866680,0.896559,0.836801,0.003258,0.015930,0.021859,0.023647,0.000000
475,2314.376,0.162524,0.771620,0.888416,0.654825,34,0.00009542,6,0.147560,0.012838,0.282281,0.867167,0.985933,0.748402,0.869746,0.899821,0.839670,0.002704,0.016266,0.020835,0.023833,0.000000
500,2587.306,0.157248,0.777681,0.891808,0.663554,31,0.00006258,4,0.140522,0.013469,0.267575,0.871985,0.985316,0.758654,0.872462,0.903820,0.841105,0.002870,0.015420,0.020270,0.022987,0.000000
525,2628.256,0.155011,0.779000,0.894080,0.663920,31,0.00006282,4,0.136959,0.011365,0.262554,0.874537,0.987588,0.761486,0.871238,0.904241,0.838235,0.002488,0.015249,0.019820,0.022967,0.000000
550,2894.595,0.150337,0.784293,0.893285,0.675302,31,0.00006029,4,0.128394,0.010733,0.246055,0.880999,0.988252,0.773747,0.872168,0.902873,0.841463,0.002393,0.014216,0.019924,0.021870,0.000000
575,2935.788,0.147991,0.786438,0.898270,0.674605,31,0.00006021,3,0.129788,0.009576,0.250000,0.880438,0.989551,0.771325,0.875064,0.906872,0.843257,0.002143,0.014453,0.019036,0.021982,0.000000
600,3202.113,0.145721,0.790102,0.896131,0.684074,31,0.00004762,4,0.126117,0.009050,0.243185,0.883862,0.990091,0.777632,0.877336,0.904241,0.850430,0.002027,0.013920,0.019485,0.021104,0.000000
625,3243.497,0.144061,0.791430,0.898146,0.684713,31,0.00003538,3,0.124649,0.010418,0.238881,0.884461,0.988651,0.780271,0.877891,0.907503,0.848278,0.002099,0.013841,0.018882,0.021160,0.000000
650,3510.212,0.143071,0.790947,0.902757,0.679137,31,0.00004629,2,0.126942,0.007471,0.246413,0.883192,0.991852,0.774532,0.877994,0.909502,0.846485,0.001645,0.014277,0.018150,0.021569,0.000000
675,3551.361,0.143877,0.792477,0.900803,0.684150,31,0.00004466,1,0.126730,0.008839,0.244620,0.883600,0.990367,0.776832,0.880136,0.908766,0.851506,0.001960,0.014215,0.018551,0.021310,0.000000
700,3817.593,0.141513,0.794936,0.900990,0.688882,31,0.00003802,1,0.121053,0.009681,0.232425,0.887272,0.989470,0.785075,0.879354,0.909713,0.848996,0.002182,0.013567,0.018543,0.020745,0.000000
725,3858.458,0.141096,0.794502,0.903728,0.685276,31,0.00003490,1,0.123872,0.007787,0.239957,0.885656,0.991523,0.779789,0.880239,0.910765,0.849713,0.001695,0.014108,0.017883,0.021240,0.000000
750,4122.295,0.142296,0.790527,0.901634,0.679420,31,0.00002597,1,0.124195,0.010944,0.237446,0.883955,0.988136,0.779774,0.876124,0.911502,0.840746,0.002412,0.013504,0.018308,0.021160,0.000000
775,4162.825,0.139360,0.795384,0.905733,0.685035,31,0.00007987,3,0.124047,0.011365,0.236729,0.884673,0.987745,0.781602,0.881614,0.916027,0.847202,0.002487,0.013615,0.017510,0.020873,0.000000
800,4428.741,0.137804,0.798485,0.907694,0.689275,34,0.00003225,1,0.125458,0.013469,0.237446,0.883903,0.985569,0.782237,0.886431,0.919920,0.852941,0.002826,0.013652,0.017042,0.020647,0.000000
825,4473.903,0.130567,0.804949,0.912128,0.697770,34,0.00007010,1,0.118346,0.014311,0.222382,0.888981,0.984767,0.793195,0.889061,0.925182,0.852941,0.003021,0.012500,0.016263,0.019482,0.000000
850,4759.583,0.125778,0.813518,0.914220,0.712816,33,0.00004381,1,0.115534,0.010839,0.220230,0.893184,0.988407,0.797960,0.896964,0.924129,0.869799,0.002264,0.012609,0.015779,0.018700,0.000000
875,4803.554,0.118968,0.824225,0.919596,0.728854,33,0.00007461,1,0.114341,0.011681,0.217001,0.895522,0.987601,0.803444,0.908677,0.930338,0.887016,0.002533,0.012267,0.014859,0.017380,0.000000
900,5088.656,0.116021,0.834023,0.916710,0.751337,33,0.00005490,2,0.110288,0.013259,0.207317,0.899947,0.985927,0.813968,0.917983,0.928865,0.907102,0.002954,0.011852,0.015416,0.015842,0.000000
925,5132.467,0.109094,0.843028,0.917031,0.769024,33,0.00009077,2,0.106388,0.010839,0.201937,0.904572,0.988443,0.820701,0.925644,0.926970,0.924319,0.002150,0.011440,0.015155,0.014394,0.000000
950,5418.049,0.109083,0.843889,0.920736,0.767042,33,0.00004414,2,0.111565,0.012943,0.210187,0.900843,0.986312,0.815375,0.930458,0.932653,0.928264,0.002511,0.011949,0.014352,0.014768,0.000000
975,5462.064,0.108758,0.844229,0.922621,0.765838,33,0.00003435,1,0.111703,0.011786,0.211621,0.900911,0.987532,0.814290,0.930700,0.933495,0.927905,0.002405,0.012023,0.014105,0.014926,0.000000
1000,5747.825,0.108033,0.846876,0.923541,0.770210,33,0.00002911,1,0.111419,0.011575,0.211263,0.901561,0.987761,0.815361,0.933579,0.934231,0.932927,0.002560,0.012011,0.014098,0.014621,0.000000
1025,5791.928,0.109632,0.845286,0.923357,0.767216,33,0.00003264,1,0.116027,0.013259,0.218795,0.898204,0.986026,0.810382,0.935339,0.935599,0.935079,0.002690,0.012535,0.013869,0.015055,0.000000
