step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
700,4172.268,0.131728,0.908920,0.914297,0.903542,36,0.00026706,1,0.053237,0.075303,0.031172,0.948241,0.928856,0.967626,0.957427,0.983146,0.931707,0.016691,0.006005,0.016324,0.016175,0.000000
725,4215.973,0.127788,0.914535,0.914526,0.914543,36,0.00024417,0,0.054285,0.076923,0.031648,0.947550,0.927554,0.967545,0.964180,0.984875,0.943486,0.017241,0.006343,0.016376,0.014371,0.000000
750,4500.695,0.121798,0.917447,0.916163,0.918731,36,0.00022302,2,0.050594,0.073466,0.027722,0.950985,0.930492,0.971478,0.963835,0.983470,0.944200,0.016394,0.005496,0.015973,0.013629,0.000000
775,4544.588,0.124156,0.914884,0.915608,0.914160,36,0.00016271,1,0.049978,0.071521,0.028435,0.951348,0.932054,0.970642,0.960624,0.981093,0.940155,0.015983,0.005603,0.016087,0.014468,0.000000
800,4828.831,0.130202,0.912223,0.913166,0.911280,36,0.00018838,3,0.053789,0.074978,0.032600,0.947777,0.929039,0.966516,0.961311,0.981634,0.940988,0.016772,0.006565,0.016591,0.015097,0.000000
825,4872.693,0.128123,0.912628,0.919903,0.905353,36,0.00017164,2,0.053397,0.070981,0.035812,0.948006,0.932795,0.963216,0.961487,0.985199,0.937775,0.015834,0.007023,0.015153,0.016087,0.000000
850,5156.555,0.108486,0.925729,0.925584,0.925874,36,0.00015450,1,0.045710,0.064175,0.027246,0.955492,0.938832,0.972151,0.968042,0.984983,0.951101,0.014220,0.005374,0.013862,0.012467,0.000000
875,5200.131,0.104062,0.928061,0.921085,0.935038,36,0.00014390,1,0.043769,0.063742,0.023795,0.957331,0.938917,0.975746,0.968542,0.979797,0.957287,0.013880,0.004771,0.014514,0.010814,0.000000
900,5482.677,0.101445,0.930721,0.924225,0.937217,36,0.00011710,1,0.044429,0.063634,0.025223,0.956812,0.939203,0.974421,0.971947,0.983038,0.960857,0.013807,0.005047,0.013877,0.010484,0.000000
925,5526.074,0.100674,0.931809,0.925046,0.938572,36,0.00011062,1,0.045137,0.063742,0.026532,0.956182,0.939163,0.973200,0.973742,0.984010,0.963474,0.013759,0.005371,0.013703,0.010264,0.000000
950,5802.651,0.100314,0.932077,0.925794,0.938360,36,0.00009328,1,0.046538,0.064283,0.028792,0.954897,0.938755,0.971039,0.975342,0.985307,0.965378,0.013922,0.005607,0.013488,0.010164,0.000000
975,5846.163,0.099424,0.932727,0.929437,0.936018,36,0.00011289,1,0.044679,0.061041,0.028316,0.956566,0.941711,0.971422,0.974347,0.986171,0.962522,0.013316,0.005664,0.012960,0.010665,0.000000
1000,6127.147,0.099478,0.933465,0.930259,0.936671,36,0.00011686,0,0.046280,0.061150,0.031410,0.955089,0.941668,0.968511,0.976618,0.987143,0.966092,0.013264,0.006266,0.012694,0.010673,0.000000
1025,6170.159,0.100005,0.932294,0.930686,0.933901,36,0.00013910,0,0.045768,0.058341,0.033195,0.955412,0.944082,0.966742,0.974942,0.984983,0.964902,0.012757,0.006571,0.012605,0.011033,0.000000
1050,6447.089,0.100551,0.930715,0.928695,0.932734,36,0.00015227,1,0.046027,0.059097,0.032957,0.955124,0.943322,0.966925,0.973526,0.983578,0.963474,0.012618,0.006428,0.012776,0.011182,0.000000
1075,6489.677,0.101272,0.931364,0.930332,0.932397,36,0.00007746,0,0.046896,0.060717,0.033076,0.954420,0.942038,0.966802,0.975028,0.986819,0.963236,0.013274,0.006372,0.012677,0.011239,0.000000
1100,6760.824,0.101547,0.932071,0.930686,0.933456,35,0.00006878,0,0.045887,0.058341,0.033432,0.955293,0.944082,0.966504,0.974823,0.984983,0.964664,0.012956,0.006638,0.012856,0.011180,0.000000
1125,6802.111,0.097891,0.933585,0.932482,0.934687,35,0.00007912,0,0.044373,0.057692,0.031053,0.956761,0.944738,0.968784,0.974996,0.986279,0.963712,0.012647,0.006129,0.012278,0.010946,0.000000
1150,7071.550,0.095314,0.935313,0.934465,0.936160,35,0.00006212,0,0.044600,0.056720,0.032481,0.956584,0.945680,0.967488,0.977018,0.987468,0.966568,0.012315,0.006278,0.011898,0.010562,0.000000
1175,7112.833,0.091535,0.937666,0.937730,0.937601,35,0.00005493,0,0.041302,0.054883,0.027722,0.959735,0.947434,0.972036,0.976395,0.989196,0.963593,0.011928,0.005572,0.011298,0.010451,0.000000
1200,7383.828,0.089483,0.939024,0.938397,0.939650,35,0.00020531,1,0.040573,0.054019,0.027127,0.960438,0.948213,0.972662,0.977114,0.989088,0.965140,0.011761,0.005376,0.011125,0.010086,0.000000
1225,7425.532,0.089026,0.938996,0.937898,0.940095,35,0.00015286,1,0.040649,0.052506,0.028792,0.960293,0.949496,0.971091,0.977153,0.987143,0.967162,0.011475,0.005619,0.011244,0.009850,0.000000
1250,7697.076,0.088191,0.940027,0.937244,0.942811,35,0.00009820,1,0.040654,0.053587,0.027722,0.960356,0.948526,0.972186,0.978207,0.987468,0.968947,0.011594,0.005491,0.011272,0.009560,0.000000
1275,7738.775,0.087878,0.939520,0.937481,0.941558,35,0.00012846,1,0.040091,0.054127,0.026056,0.960905,0.948072,0.973738,0.977158,0.988224,0.966092,0.011798,0.005070,0.011201,0.009627,0.000000
1300,8007.982,0.090084,0.938291,0.935828,0.940754,35,0.00014611,1,0.041054,0.053911,0.028198,0.959923,0.948172,0.971674,0.976780,0.986279,0.967281,0.011796,0.005416,0.011694,0.009694,0.000000
1325,8049.299,0.087517,0.940335,0.937776,0.942894,35,0.00009461,1,0.039655,0.052182,0.027127,0.961262,0.949771,0.972753,0.977591,0.986711,0.968471,0.011456,0.005252,0.011316,0.009480,0.000000
1350,8321.485,0.086122,0.941651,0.938354,0.944948,35,0.00012985,2,0.037962,0.051534,0.024390,0.962893,0.950364,0.975423,0.977353,0.986711,0.967995,0.011319,0.004998,0.011244,0.009275,0.000000
1375,8363.592,0.086483,0.940647,0.937918,0.943377,35,0.00010884,1,0.039293,0.051102,0.027484,0.961573,0.950719,0.972428,0.977576,0.985847,0.969304,0.011247,0.005321,0.011182,0.009337,0.000000
1400,8629.938,0.084560,0.941964,0.937012,0.946916,35,0.00013130,1,0.037849,0.051426,0.024271,0.962989,0.950391,0.975586,0.977549,0.985199,0.969899,0.011155,0.004831,0.011283,0.008880,0.000000
1425,8672.288,0.084991,0.942009,0.937737,0.946281,35,0.00011132,1,0.039362,0.053263,0.025461,0.961632,0.948832,0.974432,0.979029,0.987684,0.970375,0.011580,0.004976,0.011232,0.008794,0.000000
1450,8938.132,0.084431,0.941875,0.936627,0.947124,35,0.00010221,2,0.037827,0.051858,0.023795,0.963021,0.949995,0.976048,0.977430,0.985199,0.969661,0.011204,0.004812,0.011336,0.008776,0.000000
1475,8980.429,0.085917,0.941151,0.936679,0.945623,35,0.00009333,1,0.039449,0.052723,0.026175,0.961490,0.949246,0.973734,0.978219,0.986063,0.970375,0.011452,0.005101,0.011419,0.008922,0.000000
1500,9245.905,0.080668,0.943855,0.940861,0.946849,35,0.00011822,1,0.036920,0.048617,0.025223,0.963856,0.953037,0.974674,0.978667,0.986603,0.970732,0.010571,0.004793,0.010606,0.008575,0.000000
1525,9287.914,0.080925,0.944540,0.940056,0.949025,35,0.00016245,1,0.036785,0.048941,0.024628,0.964006,0.952714,0.975298,0.979230,0.986063,0.972397,0.010688,0.004837,0.010769,0.008406,0.000000
1550,9546.260,0.080710,0.944383,0.938626,0.950139,35,0.00012383,2,0.036417,0.049157,0.023676,0.964346,0.952456,0.976236,0.978701,0.984767,0.972635,0.010587,0.004688,0.010952,0.008285,0.000000
1575,9588.333,0.078197,0.946374,0.939840,0.952908,35,0.00015549,2,0.035632,0.050562,0.020702,0.965222,0.951286,0.979159,0.979997,0.987360,0.972635,0.011142,0.003956,0.010857,0.007623,0.000000
1600,9855.433,0.069325,0.950958,0.939319,0.962596,35,0.00015610,2,0.029391,0.050454,0.008328,0.971423,0.951354,0.991492,0.978662,0.986711,0.970613,0.011017,0.001453,0.010918,0.005919,0.000000
1625,9897.405,0.069658,0.950860,0.939195,0.962525,35,0.00014234,2,0.029142,0.051858,0.006425,0.971768,0.950125,0.993411,0.978304,0.987900,0.968709,0.011267,0.001212,0.010962,0.005985,0.000000
1650,10171.207,0.068071,0.951143,0.941479,0.960807,35,0.00009414,2,0.028235,0.048617,0.007852,0.972511,0.953066,0.991956,0.977802,0.987252,0.968352,0.010642,0.001355,0.010522,0.006148,0.000000
1675,10213.158,0.067748,0.951707,0.942116,0.961298,35,0.00013440,2,0.028635,0.048941,0.008328,0.972147,0.952812,0.991481,0.978764,0.988224,0.969304,0.010692,0.001430,0.010438,0.006052,0.000000
1700,10487.363,0.065954,0.953933,0.941086,0.966781,35,0.00018385,2,0.027683,0.048941,0.006425,0.973102,0.952763,0.993440,0.980068,0.987143,0.972992,0.010780,0.001195,0.010687,0.005268,0.000000
1725,10529.585,0.066266,0.953091,0.940783,0.965399,35,0.00017481,2,0.028272,0.049049,0.007496,0.972503,0.952654,0.992353,0.979781,0.986927,0.972635,0.010698,0.001400,0.010566,0.005433,0.000000
1750,10786.490,0.067189,0.954022,0.940214,0.967830,34,0.00015582,2,0.027931,0.049914,0.005949,0.972898,0.951870,0.993927,0.980365,0.987143,0.973587,0.011261,0.001176,0.011095,0.005047,0.000000
1775,10827.637,0.067526,0.952724,0.938400,0.967049,34,0.00018742,3,0.028969,0.050562,0.007377,0.971850,0.951214,0.992485,0.980015,0.985847,0.974182,0.011145,0.001311,0.011182,0.005055,0.000000
1800,11089.257,0.066167,0.954623,0.940504,0.968743,34,0.00026676,2,0.027234,0.049589,0.004878,0.973591,0.952168,0.995014,0.980306,0.987143,0.973468,0.011085,0.001007,0.011000,0.004947,0.000000
1825,11130.427,0.065922,0.954761,0.940553,0.968968,34,0.00025089,2,0.027487,0.050454,0.004521,0.973396,0.951415,0.995377,0.980678,0.988008,0.973349,0.011172,0.000994,0.010858,0.004975,0.000000
1850,11377.480,0.067378,0.952610,0.939478,0.965741,34,0.00021521,2,0.029282,0.051426,0.007139,0.971614,0.950515,0.992714,0.980214,0.987792,0.972635,0.011225,0.001278,0.010868,0.005290,0.000000
1875,11418.768,0.067734,0.952570,0.939537,0.965603,34,0.00022872,3,0.028607,0.050670,0.006544,0.972244,0.951176,0.993312,0.979532,0.987143,0.971921,0.011176,0.001220,0.010961,0.005366,0.000000
1900,11681.163,0.064616,0.955365,0.941837,0.968894,34,0.00024206,2,0.027715,0.049481,0.005949,0.973130,0.952326,0.993934,0.981549,0.988440,0.974658,0.010968,0.001137,0.010569,0.004860,0.000000
1925,11722.338,0.065303,0.954964,0.940594,0.969335,34,0.00022570,2,0.026207,0.047537,0.004878,0.974496,0.953975,0.995017,0.979685,0.985307,0.974063,0.010651,0.000998,0.011004,0.004887,0.000000
1950,11978.802,0.068086,0.952871,0.938008,0.967734,34,0.00029209,3,0.030618,0.050886,0.010351,0.970218,0.950912,0.989524,0.981745,0.985739,0.977751,0.011186,0.001772,0.011304,0.004844,0.000000
1975,12019.931,0.064422,0.955841,0.940977,0.970706,34,0.00022530,3,0.028045,0.048833,0.007258,0.972742,0.952853,0.992632,0.982339,0.986927,0.977751,0.010775,0.001402,0.010731,0.004602,0.000000
2000,12285.328,0.066354,0.955214,0.938433,0.971996,34,0.00029073,3,0.028137,0.049373,0.006901,0.972628,0.952257,0.992999,0.981735,0.984767,0.978703,0.011007,0.001410,0.011414,0.004428,0.000000
2025,12326.619,0.065911,0.955263,0.936289,0.974238,34,0.00028905,2,0.027375,0.047969,0.006782,0.973262,0.953391,0.993133,0.981023,0.981201,0.980845,0.010742,0.001327,0.011841,0.004027,0.000000
2050,12573.756,0.068564,0.952759,0.937327,0.968190,34,0.00025102,3,0.031569,0.053263,0.009875,0.969406,0.948811,0.990001,0.982501,0.987252,0.977751,0.011732,0.001655,0.011413,0.004689,0.000000
2075,12614.786,0.068156,0.954079,0.938643,0.969514,34,0.00036598,2,0.029055,0.051210,0.006901,0.971821,0.950661,0.992981,0.981458,0.986711,0.976205,0.011427,0.001424,0.011305,0.004902,0.000000
2100,12854.100,0.068190,0.953253,0.938700,0.967807,34,0.00028471,2,0.030553,0.052182,0.008923,0.970381,0.949818,0.990944,0.982063,0.987684,0.976443,0.011588,0.001611,0.011172,0.004893,0.000000
2125,12895.135,0.069909,0.952811,0.937365,0.968256,34,0.00034595,3,0.030196,0.052182,0.008209,0.970705,0.949750,0.991661,0.981242,0.986279,0.976205,0.011504,0.001711,0.011480,0.005134,0.000000
2150,13149.870,0.070662,0.952243,0.936323,0.968164,34,0.00020512,2,0.032179,0.055315,0.009042,0.968908,0.946987,0.990829,0.982517,0.988116,0.976919,0.012189,0.001630,0.011620,0.004977,0.000000
2175,13191.079,0.066794,0.955240,0.940572,0.969908,34,0.00043277,2,0.029494,0.050778,0.008209,0.971404,0.951133,0.991675,0.983101,0.988332,0.977870,0.011348,0.001575,0.011013,0.004689,0.000000
2200,13439.241,0.069256,0.953322,0.940664,0.965980,34,0.00023917,3,0.032472,0.054235,0.010708,0.968649,0.948146,0.989151,0.984002,0.991681,0.976324,0.012080,0.001848,0.010853,0.005213,0.000000
2225,13480.285,0.065541,0.954729,0.943957,0.965501,34,0.00022235,2,0.028625,0.046780,0.010470,0.972090,0.954797,0.989382,0.981863,0.988116,0.975610,0.010508,0.001908,0.010279,0.005307,0.000000
2250,13743.530,0.066466,0.953702,0.940831,0.966573,34,0.00008952,3,0.030370,0.049914,0.010827,0.970470,0.951900,0.989040,0.982415,0.987792,0.977037,0.010969,0.001794,0.010697,0.005055,0.000000
2275,13784.535,0.065573,0.953495,0.942526,0.964463,34,0.00017786,3,0.026447,0.045160,0.007733,0.974136,0.956166,0.992106,0.978506,0.985091,0.971921,0.009881,0.001576,0.010261,0.005827,0.000000
