step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count
1,1.403,0.742229,0.217108,0.245244,0.188971,20,0.00096609,0,0.284969,0.187025,0.382914,0.507242,0.608845,0.405639,0.276221,0.291111,0.261331,0.020082,0.048054,0.087845,0.125271,0.010000
25,26.979,0.481334,0.372694,0.370740,0.374647,20,0.00014238,0,0.119086,0.090331,0.147842,0.780758,0.817352,0.744164,0.417133,0.404229,0.430036,0.009597,0.018114,0.067040,0.079516,0.010000
50,190.900,0.380860,0.485007,0.471741,0.498274,23,0.00022505,1,0.091890,0.089715,0.094065,0.852126,0.851411,0.852842,0.529603,0.514063,0.545144,0.009399,0.011333,0.056063,0.060473,0.010000
75,220.672,0.329713,0.554218,0.519335,0.589101,23,0.00002061,1,0.087426,0.098953,0.075899,0.872647,0.852238,0.893056,0.602269,0.570725,0.633813,0.010436,0.009204,0.051356,0.048723,0.010000
100,406.529,0.307220,0.584918,0.544040,0.625795,22,0.00002215,0,0.085321,0.095463,0.075180,0.880715,0.861936,0.899495,0.634409,0.595976,0.672842,0.010064,0.009203,0.048536,0.044232,0.010000
125,435.225,0.284438,0.614339,0.566842,0.661837,22,0.00002380,1,0.080428,0.093410,0.067446,0.890939,0.869027,0.912851,0.663133,0.619791,0.706475,0.009929,0.008250,0.046064,0.039653,0.010000
150,615.588,0.262971,0.639890,0.582738,0.697042,22,0.00003223,1,0.074841,0.091768,0.057914,0.900562,0.873942,0.927182,0.686812,0.636214,0.737410,0.009685,0.007053,0.044203,0.035077,0.010000
175,643.499,0.247161,0.662632,0.603600,0.721664,22,0.00004711,1,0.075031,0.094847,0.055216,0.903442,0.874491,0.932394,0.711180,0.660850,0.761511,0.009993,0.006623,0.042010,0.032058,0.010000
200,823.541,0.236958,0.678600,0.622027,0.735174,22,0.00003865,1,0.075737,0.096079,0.055396,0.904923,0.876485,0.933362,0.728845,0.681790,0.775899,0.010060,0.006745,0.040020,0.030555,0.010000
225,851.433,0.224329,0.698353,0.644752,0.751955,22,0.00010642,3,0.078536,0.099158,0.057914,0.904697,0.877255,0.932139,0.752094,0.708684,0.795504,0.010292,0.006981,0.037609,0.028506,0.010000
250,1025.639,0.212277,0.714739,0.664169,0.765308,21,0.00013298,4,0.075288,0.096079,0.054496,0.910076,0.883408,0.936743,0.767498,0.727982,0.807014,0.010225,0.006447,0.035711,0.026680,0.010000
275,1052.360,0.208131,0.720239,0.669663,0.770816,21,0.00007534,3,0.076290,0.096284,0.056295,0.909692,0.884054,0.935331,0.774175,0.734141,0.814209,0.010221,0.006476,0.035007,0.026004,0.010000
