patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
26,-1,0.113560,0.857944,0.904340,0.811547,0.918302,0.927691,0.072410
25,18,0.121543,0.846063,0.894212,0.797915,0.907767,0.924479,0.075355
24,12,0.113399,0.852535,0.903319,0.801750,0.909430,0.930202,0.069179
23,14,0.119892,0.846451,0.898382,0.794521,0.906899,0.925427,0.073895
22,14,0.117497,0.846958,0.901388,0.792528,0.906361,0.926413,0.072807
21,18,0.117184,0.848556,0.901419,0.795694,0.906493,0.928229,0.070637
20,20,0.116557,0.849072,0.900089,0.798055,0.907967,0.927575,0.071851
19,12,0.121552,0.836993,0.896487,0.777499,0.892306,0.928693,0.068846
18,15,0.124215,0.835257,0.887084,0.783430,0.888320,0.931500,0.065785
17,2,0.131305,0.822561,0.881072,0.764051,0.870604,0.934696,0.060923
16,14,0.132756,0.821974,0.880285,0.763664,0.871864,0.932503,0.063091
15,7,0.134472,0.820528,0.876171,0.764884,0.870486,0.932456,0.063382
14,7,0.140561,0.803339,0.878448,0.728231,0.851300,0.930243,0.063662
13,10,0.150130,0.787899,0.874846,0.700951,0.836597,0.925466,0.066505
12,0,0.158237,0.766179,0.877739,0.654618,0.809184,0.925800,0.062435
11,11,0.168548,0.749799,0.863028,0.636571,0.788367,0.929026,0.057470
10,6,0.177637,0.743749,0.843272,0.644226,0.783734,0.927605,0.059307
9,5,0.186661,0.719547,0.848577,0.590517,0.753517,0.928026,0.054422
8,8,0.203538,0.684908,0.847395,0.522422,0.716350,0.919750,0.055411
7,0,0.221793,0.635592,0.853686,0.417498,0.658796,0.913744,0.048878
6,4,0.240295,0.588453,0.856122,0.320784,0.604666,0.904169,0.042801
5,3,0.274346,0.554670,0.796145,0.313194,0.570416,0.902780,0.042508
4,4,0.309009,0.511293,0.735605,0.286981,0.523528,0.907961,0.036098
3,0,0.359202,0.450944,0.649569,0.252319,0.459872,0.917351,0.028172
2,0,0.428991,0.346866,0.570761,0.122970,0.350932,0.870646,0.023891
1,1,0.562170,0.183394,0.366788,0.000000,0.184150,0.494465,0.019547
