patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
27,-1,0.161003,0.878213,0.874458,0.881968,0.917790,0.954346,0.045181
26,8,0.162346,0.875073,0.871121,0.879025,0.913781,0.954745,0.044345
25,9,0.151311,0.881751,0.881513,0.881988,0.915596,0.960609,0.038390
24,3,0.149831,0.881188,0.881145,0.881231,0.913759,0.961907,0.036964
23,23,0.152037,0.880914,0.881722,0.880107,0.914397,0.960805,0.037992
22,20,0.152806,0.880164,0.877660,0.882669,0.912799,0.961565,0.037132
21,13,0.153859,0.878685,0.876548,0.880822,0.911464,0.961230,0.037349
20,12,0.153438,0.878881,0.874846,0.882915,0.911439,0.961349,0.037123
19,8,0.157529,0.874930,0.874540,0.875321,0.908069,0.960625,0.037884
18,18,0.163115,0.870052,0.867480,0.872623,0.902250,0.961076,0.037058
17,9,0.163927,0.868484,0.864543,0.872425,0.897834,0.964176,0.033874
16,11,0.171303,0.862010,0.855206,0.868814,0.892702,0.961931,0.035734
15,12,0.181952,0.852590,0.858344,0.846835,0.884214,0.960486,0.036982
14,0,0.199559,0.835254,0.822049,0.848460,0.863200,0.962789,0.033739
13,4,0.217280,0.811019,0.823505,0.798533,0.830026,0.973841,0.023167
12,10,0.238325,0.796379,0.788095,0.804663,0.817790,0.968447,0.027059
11,6,0.259495,0.776183,0.750052,0.802315,0.794830,0.970071,0.024599
10,6,0.283855,0.755900,0.708714,0.803086,0.774709,0.967165,0.025859
9,7,0.306553,0.737515,0.670126,0.804904,0.755042,0.966498,0.025221
8,6,0.330182,0.718563,0.628746,0.808380,0.737272,0.961035,0.028209
7,3,0.354458,0.693996,0.626452,0.761540,0.710932,0.963470,0.025919
6,5,0.381394,0.671957,0.590349,0.753565,0.688331,0.960963,0.026421
5,1,0.413962,0.643301,0.552055,0.734548,0.660594,0.954831,0.029258
4,4,0.449030,0.611657,0.520885,0.702430,0.628126,0.952516,0.029254
3,2,0.482248,0.575241,0.525054,0.625428,0.588262,0.959404,0.024140
2,0,0.543809,0.516654,0.511442,0.521867,0.529681,0.954943,0.025347
1,1,0.727083,0.352850,0.187342,0.518357,0.358146,0.930227,0.018497
